week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Week,Year
2007-22,10,0,301,0,22,2007
2007-23,74,0,2963,0,23,2007
2007-24,21,0,600,0,24,2007
2007-25,74,0,2336,0,25,2007
2007-26,65,0,2309,0,26,2007
2007-27,62,1,1894,0.5279831045406547,27,2007
2007-28,94,0,2860,0,28,2007
2007-29,108,0,3967,0,29,2007
2007-30,80,1,2642,0.3785011355034065,30,2007
2007-31,93,1,2693,0.37133308577794283,31,2007
2007-32,101,3,2590,1.1583011583011582,32,2007
2007-33,102,5,2263,2.2094564737074682,33,2007
2007-34,94,1,1527,0.6548788474132285,34,2007
2007-35,79,3,1363,2.201027146001467,35,2007
2007-36,45,1,725,1.379310344827586,36,2007
2007-37,55,2,1125,1.777777777777778,37,2007
2007-38,32,0,373,0,38,2007
2007-39,34,1,378,2.6455026455026456,39,2007
2007-40,17,1,179,5.58659217877095,40,2007
2007-41,5,0,189,0,41,2007
2008-23,3,0,112,0,23,2008
2008-24,22,0,733,0,24,2008
2008-25,5,0,128,0,25,2008
2008-26,17,0,627,0,26,2008
2008-27,39,0,1798,0,27,2008
2008-28,31,0,1295,0,28,2008
2008-29,36,0,1576,0,29,2008
2008-30,35,1,1508,0.6631299734748011,30,2008
2008-31,26,2,1034,1.9342359767891684,31,2008
2008-32,43,1,1569,0.6373486297004461,32,2008
2008-33,72,6,2639,2.2735884804850324,33,2008
2008-34,61,3,1914,1.567398119122257,34,2008
2008-35,44,2,1305,1.5325670498084292,35,2008
2008-36,46,2,1299,1.539645881447267,36,2008
2008-37,35,3,945,3.1746031746031744,37,2008
2008-38,53,6,1591,3.771213073538655,38,2008
2008-39,12,0,348,0,39,2008
2008-40,20,3,602,4.983388704318936,40,2008
2008-41,7,2,173,11.560693641618496,41,2008
2009-26,17,0,592,0,26,2009
2009-27,7,0,285,0,27,2009
2009-28,4,0,99,0,28,2009
2009-29,28,1,1021,0.9794319294809011,29,2009
2009-30,66,0,2997,0,30,2009
2009-31,47,0,2189,0,31,2009
2009-32,54,1,2398,0.4170141784820684,32,2009
2009-33,75,0,3552,0,33,2009
2009-34,67,4,3164,1.2642225031605563,34,2009
2009-35,69,4,3229,1.2387736141220191,35,2009
2009-36,54,6,2396,2.5041736227045073,36,2009
2009-37,38,1,1600,0.625,37,2009
2009-38,49,8,2051,3.9005363237445145,38,2009
2009-39,38,2,1525,1.3114754098360655,39,2009
2009-40,44,4,2139,1.8700327255726976,40,2009
2009-41,13,1,562,1.779359430604982,41,2009
2010-18,2,0,48,0,18,2010
2010-20,3,0,116,0,20,2010
2010-21,2,0,84,0,21,2010
2010-22,2,0,102,0,22,2010
2010-24,2,0,95,0,24,2010
2010-26,8,0,376,0,26,2010
2010-27,29,0,1260,0,27,2010
2010-28,35,0,1269,0,28,2010
2010-29,28,1,1077,0.9285051067780873,29,2010
2010-30,28,3,812,3.694581280788177,30,2010
2010-31,64,3,1732,1.7321016166281755,31,2010
2010-32,31,0,1164,0,32,2010
2010-33,26,3,770,3.896103896103896,33,2010
2010-34,20,0,552,0,34,2010
2010-35,34,6,1018,5.893909626719057,35,2010
2010-36,18,1,316,3.1645569620253164,36,2010
2010-37,14,1,314,3.1847133757961785,37,2010
2010-38,22,4,607,6.589785831960461,38,2010
2010-39,14,0,336,0,39,2010
2010-40,1,0,5,0,40,2010
2011-25,37,0,1602,0,25,2011
2011-26,21,0,813,0,26,2011
2011-27,34,0,1451,0,27,2011
2011-28,29,0,1117,0,28,2011
2011-29,32,0,1318,0,29,2011
2011-30,45,2,1730,1.1560693641618498,30,2011
2011-31,47,3,1711,1.7533606078316775,31,2011
2011-32,67,13,2676,4.857997010463378,32,2011
2011-33,39,6,1136,5.28169014084507,33,2011
2011-34,50,15,1446,10.37344398340249,34,2011
2011-35,64,2,1492,1.3404825737265416,35,2011
2011-36,65,2,2149,0.9306654257794323,36,2011
2011-37,53,11,1610,6.832298136645963,37,2011
2011-38,34,1,848,1.1792452830188678,38,2011
2011-39,37,1,1220,0.819672131147541,39,2011
2011-40,7,0,60,0,40,2011
2011-42,12,0,117,0,42,2011
2012-21,1,0,45,0,21,2012
2012-23,16,0,676,0,23,2012
2012-24,46,0,1403,0,24,2012
2012-25,75,0,3143,0,25,2012
2012-26,71,0,2859,0,26,2012
2012-27,30,0,928,0,27,2012
2012-28,132,4,5349,0.7478033277248084,28,2012
2012-29,147,35,5492,6.372906045156592,29,2012
2012-30,56,10,2297,4.3535045711797995,30,2012
2012-31,101,26,3846,6.760270410816433,31,2012
2012-32,104,12,2608,4.601226993865031,32,2012
2012-33,177,25,4142,6.035731530661517,33,2012
2012-34,84,19,2042,9.304603330068561,34,2012
2012-35,119,5,3771,1.3259082471492973,35,2012
2012-36,95,2,3393,0.5894488653109342,36,2012
2012-37,53,6,1634,3.6719706242350063,37,2012
2012-38,27,1,859,1.1641443538998835,38,2012
2012-39,27,1,678,1.4749262536873156,39,2012
2012-40,17,0,352,0,40,2012
2012-41,14,0,91,0,41,2012
2013-24,15,0,606,0,24,2013
2013-25,16,0,789,0,25,2013
2013-26,52,0,2095,0,26,2013
2013-27,43,0,1718,0,27,2013
2013-28,59,0,2258,0,28,2013
2013-29,64,2,2702,0.7401924500370096,29,2013
2013-30,52,3,1900,1.5789473684210527,30,2013
2013-31,69,12,2868,4.184100418410042,31,2013
2013-32,67,14,2352,5.952380952380952,32,2013
2013-33,64,16,2538,6.304176516942475,33,2013
2013-34,64,8,2110,3.7914691943127963,34,2013
2013-35,69,20,2567,7.791195948578107,35,2013
2013-36,58,16,2242,7.136485280999108,36,2013
2013-37,30,9,711,12.658227848101266,37,2013
2013-38,10,2,298,6.7114093959731544,38,2013
2013-39,7,0,90,0,39,2013
2013-40,11,0,218,0,40,2013
2013-41,12,1,304,3.289473684210526,41,2013
2014-24,15,0,586,0,24,2014
2014-25,33,0,1184,0,25,2014
2014-26,36,0,1228,0,26,2014
2014-27,50,0,1812,0,27,2014
2014-28,54,0,2230,0,28,2014
2014-29,50,0,1736,0,29,2014
2014-30,71,0,2742,0,30,2014
2014-31,58,2,2103,0.9510223490252021,31,2014
2014-32,68,5,2335,2.1413276231263385,32,2014
2014-33,60,4,1853,2.1586616297895307,33,2014
2014-34,50,0,1369,0,34,2014
2014-35,45,5,1288,3.8819875776397517,35,2014
2014-36,41,6,1242,4.830917874396135,36,2014
2014-37,27,0,450,0,37,2014
2014-38,13,1,189,5.291005291005291,38,2014
2014-39,2,0,15,0,39,2014
2014-40,4,0,97,0,40,2014
2014-41,1,0,6,0,41,2014
2014-42,1,0,10,0,42,2014
2015-24,1,0,7,0,24,2015
2015-25,12,0,392,0,25,2015
2015-26,27,0,1169,0,26,2015
2015-27,43,0,1997,0,27,2015
2015-28,31,0,1287,0,28,2015
2015-29,45,0,1815,0,29,2015
2015-30,56,0,2233,0,30,2015
2015-31,58,3,2561,1.1714174150722374,31,2015
2015-32,45,0,1820,0,32,2015
2015-33,45,2,1803,1.1092623405435387,33,2015
2015-34,54,2,1863,1.0735373054213635,34,2015
2015-35,38,2,1507,1.3271400132714002,35,2015
2015-36,31,3,1145,2.6200873362445414,36,2015
2015-37,23,1,797,1.2547051442910915,37,2015
2015-38,19,0,612,0,38,2015
2015-39,7,1,217,4.608294930875576,39,2015
2015-40,4,0,61,0,40,2015
2015-41,1,0,20,0,41,2015
2016-23,16,0,457,0,23,2016
2016-24,47,0,1288,0,24,2016
2016-25,60,0,1655,0,25,2016
2016-26,54,0,1867,0,26,2016
2016-27,43,0,1232,0,27,2016
2016-28,45,0,1363,0,28,2016
2016-29,48,0,1480,0,29,2016
2016-30,45,0,1125,0,30,2016
2016-31,46,0,1166,0,31,2016
2016-32,38,1,812,1.2315270935960592,32,2016
2016-33,41,1,1198,0.8347245409015025,33,2016
2016-34,25,1,426,2.347417840375587,34,2016
2016-35,29,2,435,4.597701149425287,35,2016
2016-36,27,3,516,5.813953488372093,36,2016
2016-37,18,0,328,0,37,2016
2016-38,19,0,501,0,38,2016
2017-23,7,0,156,0,23,2017
2017-24,28,0,900,0,24,2017
2017-25,38,0,1181,0,25,2017
2017-26,40,0,980,0,26,2017
2017-27,43,1,1457,0.6863417982155113,27,2017
2017-28,67,0,2258,0,28,2017
2017-29,81,0,2824,0,29,2017
2017-30,63,0,1760,0,30,2017
2017-31,74,2,2424,0.8250825082508251,31,2017
2017-32,77,1,2331,0.429000429000429,32,2017
2017-33,58,3,1656,1.8115942028985508,33,2017
2017-34,56,2,1359,1.4716703458425313,34,2017
2017-35,34,1,614,1.6286644951140066,35,2017
2017-36,34,2,884,2.2624434389140275,36,2017
2017-37,27,3,471,6.369426751592357,37,2017
2017-38,16,0,514,0,38,2017
2017-39,25,1,486,2.05761316872428,39,2017
2017-40,3,0,25,0,40,2017
2018-23,9,0,202,0,23,2018
2018-24,24,0,748,0,24,2018
2018-25,61,0,2037,0,25,2018
2018-26,54,0,1861,0,26,2018
2018-27,70,0,2597,0,27,2018
2018-28,54,0,1984,0,28,2018
2018-29,58,0,1794,0,29,2018
2018-30,53,1,1734,0.5767012687427913,30,2018
2018-31,47,1,1318,0.7587253414264037,31,2018
2018-32,68,9,1979,4.547751389590703,32,2018
2018-33,58,11,1721,6.391632771644393,33,2018
2018-34,53,7,1277,5.481597494126859,34,2018
2018-35,54,11,1539,7.147498375568551,35,2018
2018-36,62,8,1970,4.060913705583757,36,2018
2018-37,56,9,1660,5.421686746987952,37,2018
2018-38,47,3,1658,1.8094089264173703,38,2018
2018-39,12,1,218,4.587155963302752,39,2018
2018-40,18,1,384,2.6041666666666665,40,2018
2019-23,25,0,571,0,23,2019
2019-24,45,0,1633,0,24,2019
2019-25,63,0,2379,0,25,2019
2019-26,26,0,647,0,26,2019
2019-27,41,0,1463,0,27,2019
2019-28,53,0,1926,0,28,2019
2019-29,73,4,2788,1.4347202295552368,29,2019
2019-30,121,33,4719,6.993006993006993,30,2019
2019-31,134,52,5094,10.208087946603849,31,2019
2019-32,106,21,3944,5.324543610547667,32,2019
2019-33,98,27,3629,7.44006613392119,33,2019
2019-34,53,11,1718,6.40279394644936,34,2019
2019-35,49,7,950,7.368421052631579,35,2019
2019-36,37,5,919,5.4406964091403704,36,2019
2019-37,34,7,919,7.616974972796518,37,2019
2019-38,27,2,522,3.8314176245210727,38,2019
2019-39,26,0,456,0,39,2019
2019-40,16,2,383,5.221932114882507,40,2019
2019-41,7,1,200,5,41,2019
2020-24,13,0,149,0,24,2020
2020-25,24,0,373,0,25,2020
2020-26,38,0,1287,0,26,2020
2020-27,32,0,1101,0,27,2020
2020-28,56,0,1878,0,28,2020
2020-29,52,0,1844,0,29,2020
2020-30,65,0,2415,0,30,2020
2020-31,63,1,2207,0.45310376076121434,31,2020
2020-32,63,2,2218,0.9017132551848511,32,2020
2020-33,66,4,2194,1.8231540565177757,33,2020
2020-34,44,1,1307,0.7651109410864575,34,2020
2020-35,41,1,1009,0.9910802775024776,35,2020
2020-36,32,2,743,2.6917900403768504,36,2020
2020-37,27,1,782,1.278772378516624,37,2020
2020-38,17,0,387,0,38,2020
2020-39,8,0,184,0,39,2020
2020-40,8,0,103,0,40,2020
2021-23,12,0,275,0,23,2021
2021-24,32,0,698,0,24,2021
2021-25,29,0,923,0,25,2021
2021-26,50,0,1673,0,26,2021
2021-27,34,0,1093,0,27,2021
2021-28,41,0,1252,0,28,2021
2021-29,67,0,2318,0,29,2021
2021-30,60,1,2275,0.43956043956043955,30,2021
2021-31,62,1,2125,0.47058823529411764,31,2021
2021-32,56,2,2128,0.9398496240601504,32,2021
2021-33,57,2,1800,1.1111111111111112,33,2021
2021-34,62,1,2323,0.4304778303917348,34,2021
2021-35,43,0,1320,0,35,2021
2021-36,45,1,1428,0.7002801120448179,36,2021
2021-37,56,5,1803,2.7731558513588466,37,2021
2021-38,35,3,908,3.303964757709251,38,2021
2021-39,13,0,326,0,39,2021
2022-23,10,0,315,0,23,2022
2022-24,54,0,2193,0,24,2022
2022-25,29,0,963,0,25,2022
2022-26,37,0,1469,0,26,2022
2022-27,26,0,975,0,27,2022
2022-28,42,1,1519,0.6583278472679394,28,2022
2022-29,36,0,1245,0,29,2022
2022-30,32,0,902,0,30,2022
2022-31,43,1,1407,0.7107320540156361,31,2022
2022-32,24,0,672,0,32,2022
2022-33,21,0,481,0,33,2022
2022-34,28,1,472,2.1186440677966103,34,2022
2022-35,26,2,414,4.830917874396135,35,2022
2022-36,21,0,333,0,36,2022
2022-37,25,0,388,0,37,2022
2022-38,26,1,465,2.150537634408602,38,2022
2022-39,23,0,246,0,39,2022
2022-40,4,0,49,0,40,2022
2023-23,16,0,259,0,23,2023
2023-24,46,0,1654,0,24,2023
2023-25,44,0,1490,0,25,2023
2023-26,50,0,1946,0,26,2023
2023-27,38,0,1331,0,27,2023
2023-28,52,0,1700,0,28,2023
2023-29,62,0,2501,0,29,2023
2023-30,60,0,2300,0,30,2023
2023-31,57,1,2171,0.460617227084293,31,2023
2023-32,67,2,2632,0.7598784194528876,32,2023
2023-33,70,2,2651,0.7544322897019993,33,2023
2023-34,62,2,2090,0.9569377990430622,34,2023
2023-35,83,1,2564,0.39001560062402496,35,2023
2023-36,29,2,845,2.366863905325444,36,2023
2023-37,45,3,1445,2.0761245674740487,37,2023
2023-38,38,7,1190,5.88235294117647,38,2023
2023-39,41,8,1008,7.936507936507936,39,2023
2023-40,45,0,640,0,40,2023
2023-41,23,0,747,0,41,2023
