week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Week,Year
2007-23,53,0,2327,0,23,2007
2007-25,16,0,659,0,25,2007
2007-26,19,0,867,0,26,2007
2007-27,20,1,752,1.3297872340425532,27,2007
2007-28,31,0,1093,0,28,2007
2007-29,48,0,1949,0,29,2007
2007-30,31,1,1236,0.8090614886731392,30,2007
2007-31,32,0,863,0,31,2007
2007-32,39,1,994,1.006036217303823,32,2007
2007-33,28,0,591,0,33,2007
2007-34,25,0,332,0,34,2007
2007-35,17,2,339,5.899705014749262,35,2007
2007-36,9,0,132,0,36,2007
2007-37,14,0,242,0,37,2007
2007-38,7,0,71,0,38,2007
2007-39,12,0,135,0,39,2007
2007-40,7,1,53,18.867924528301884,40,2007
2007-41,2,0,79,0,41,2007
2008-23,3,0,112,0,23,2008
2008-24,9,0,242,0,24,2008
2008-25,3,0,95,0,25,2008
2008-26,10,0,363,0,26,2008
2008-27,10,0,412,0,27,2008
2008-28,3,0,69,0,28,2008
2008-29,1,0,18,0,29,2008
2008-30,2,0,80,0,30,2008
2008-31,5,0,155,0,31,2008
2008-32,8,0,250,0,32,2008
2008-33,24,1,917,1.0905125408942202,33,2008
2008-34,12,1,340,2.941176470588235,34,2008
2008-35,10,0,221,0,35,2008
2008-36,8,0,228,0,36,2008
2008-37,9,0,289,0,37,2008
2008-38,15,4,315,12.698412698412698,38,2008
2008-39,5,0,130,0,39,2008
2008-40,8,2,304,6.578947368421052,40,2008
2008-41,3,0,87,0,41,2008
2009-26,3,0,102,0,26,2009
2009-27,3,0,150,0,27,2009
2009-28,2,0,60,0,28,2009
2009-29,8,0,257,0,29,2009
2009-30,25,0,1175,0,30,2009
2009-31,20,0,938,0,31,2009
2009-32,19,0,872,0,32,2009
2009-33,25,0,1203,0,33,2009
2009-34,23,1,1072,0.9328358208955224,34,2009
2009-35,31,1,1505,0.6644518272425249,35,2009
2009-36,22,0,989,0,36,2009
2009-37,20,0,936,0,37,2009
2009-38,25,4,1137,3.518029903254178,38,2009
2009-39,26,1,1061,0.942507068803016,39,2009
2009-40,28,4,1358,2.945508100147275,40,2009
2009-41,11,1,481,2.079002079002079,41,2009
2010-24,2,0,95,0,24,2010
2010-26,7,0,350,0,26,2010
2010-27,10,0,476,0,27,2010
2010-28,19,0,709,0,28,2010
2010-29,15,1,571,1.7513134851138354,29,2010
2010-30,22,3,594,5.050505050505051,30,2010
2010-31,54,2,1453,1.3764624913971093,31,2010
2010-32,9,0,280,0,32,2010
2010-33,8,2,239,8.368200836820083,33,2010
2010-34,10,0,275,0,34,2010
2010-35,9,1,221,4.524886877828055,35,2010
2010-36,5,0,86,0,36,2010
2010-37,5,0,78,0,37,2010
2010-38,6,1,145,6.896551724137931,38,2010
2010-39,3,0,43,0,39,2010
2011-25,1,0,31,0,25,2011
2011-26,4,0,144,0,26,2011
2011-27,12,0,535,0,27,2011
2011-28,7,0,285,0,28,2011
2011-29,12,0,537,0,29,2011
2011-30,17,0,566,0,30,2011
2011-31,19,0,759,0,31,2011
2011-32,27,6,975,6.153846153846154,32,2011
2011-33,20,2,606,3.3003300330033003,33,2011
2011-34,19,6,446,13.45291479820628,34,2011
2011-35,31,1,648,1.5432098765432098,35,2011
2011-36,45,2,1578,1.2674271229404308,36,2011
2011-37,24,5,694,7.204610951008645,37,2011
2011-38,19,0,461,0,38,2011
2011-39,19,0,649,0,39,2011
2011-40,4,0,42,0,40,2011
2011-42,8,0,102,0,42,2011
2012-21,1,0,45,0,21,2012
2012-23,14,0,576,0,23,2012
2012-24,24,0,875,0,24,2012
2012-25,59,0,2515,0,25,2012
2012-26,49,0,2024,0,26,2012
2012-27,7,0,148,0,27,2012
