week_num,trap type,Average_MEL
2007-19,Gravid Trap,0
2007-21,Dry Ice CO2 - CDC Miniature Light Trap with CO2,61
2007-21,Light - CDC Miniature Light Trap,2
2007-22,Gravid Trap,0
2007-22,Light - CDC Miniature Light Trap,39
2007-22,UV - Ultraviolet Miniature Light Trap,43
2007-23,500cc CO2 - CDC Miniature Light Trap,203
2007-23,Dry Ice CO2 - CDC Miniature Light Trap with CO2,21.333333333333332
2007-23,Gravid Trap,0
2007-23,Light - CDC Miniature Light Trap,13
2007-23,Resting Box,2.5
2007-23,UV - Ultraviolet Miniature Light Trap,39.4
2007-24,Gravid Trap,0.25
2007-24,Light - CDC Miniature Light Trap,25.6
2007-24,Resting Box,5.2
2007-24,UV - Ultraviolet Miniature Light Trap,30.857142857142858
2007-25,500cc CO2 - CDC Miniature Light Trap,303
2007-25,Dry Ice CO2 - CDC Miniature Light Trap with CO2,97
2007-25,Gravid Trap,0
2007-25,Light - CDC Miniature Light Trap,38.9
2007-25,Resting Box,7.888888888888889
2007-25,UV - Ultraviolet Miniature Light Trap,6.833333333333333
2007-26,Dry Ice CO2 - CDC Miniature Light Trap with CO2,11.166666666666666
2007-26,Gravid Trap,0
2007-26,Light - CDC Miniature Light Trap,15.333333333333334
2007-26,Resting Box,3
2007-26,UV - Ultraviolet Miniature Light Trap,28.428571428571427
2007-27,500cc CO2 - CDC Miniature Light Trap,3
2007-27,Dry Ice CO2 - CDC Miniature Light Trap with CO2,18
2007-27,Gravid Trap,0
2007-27,Light - CDC Miniature Light Trap,8.181818181818182
2007-27,Resting Box,3.142857142857143
2007-27,UV - Ultraviolet Miniature Light Trap,13.166666666666666
2007-28,500cc CO2 - CDC Miniature Light Trap,35
2007-28,Dry Ice CO2 - CDC Miniature Light Trap with CO2,26.375
2007-28,Gravid Trap,0
2007-28,Light - CDC Miniature Light Trap,31.90909090909091
2007-28,Resting Box,3.8
2007-28,UV - Ultraviolet Miniature Light Trap,41.857142857142854
2007-29,500cc CO2 - CDC Miniature Light Trap,206.5
2007-29,Dry Ice CO2 - CDC Miniature Light Trap with CO2,25.75
2007-29,Gravid Trap,0
2007-29,Light - CDC Miniature Light Trap,35.77777777777778
2007-29,Resting Box,7.666666666666667
2007-29,UV - Ultraviolet Miniature Light Trap,71
2007-30,500cc CO2 - CDC Miniature Light Trap,34
2007-30,Dry Ice CO2 - CDC Miniature Light Trap with CO2,26.857142857142858
