week_num,trap type,Average_MEL
2007-21,Dry Ice CO2 - CDC Miniature Light Trap with CO2,61
2007-23,500cc CO2 - CDC Miniature Light Trap,203
2007-23,Dry Ice CO2 - CDC Miniature Light Trap with CO2,21.333333333333332
2007-25,500cc CO2 - CDC Miniature Light Trap,303
2007-25,Dry Ice CO2 - CDC Miniature Light Trap with CO2,97
2007-26,Dry Ice CO2 - CDC Miniature Light Trap with CO2,11.166666666666668
2007-27,500cc CO2 - CDC Miniature Light Trap,3
2007-27,Dry Ice CO2 - CDC Miniature Light Trap with CO2,18
2007-28,500cc CO2 - CDC Miniature Light Trap,35
2007-28,Dry Ice CO2 - CDC Miniature Light Trap with CO2,26.375
2007-29,500cc CO2 - CDC Miniature Light Trap,206.5
2007-29,Dry Ice CO2 - CDC Miniature Light Trap with CO2,25.75
2007-30,500cc CO2 - CDC Miniature Light Trap,34
2007-30,Dry Ice CO2 - CDC Miniature Light Trap with CO2,26.857142857142858
2007-31,500cc CO2 - CDC Miniature Light Trap,87.66666666666667
2007-31,Dry Ice CO2 - CDC Miniature Light Trap with CO2,59.8
2007-32,500cc CO2 - CDC Miniature Light Trap,37
2007-32,Dry Ice CO2 - CDC Miniature Light Trap with CO2,17.555555555555557
2007-33,500cc CO2 - CDC Miniature Light Trap,20.5
2007-33,Dry Ice CO2 - CDC Miniature Light Trap with CO2,13.88888888888889
2007-34,500cc CO2 - CDC Miniature Light Trap,18.25
2007-34,Dry Ice CO2 - CDC Miniature Light Trap with CO2,6.545454545454545
2007-35,500cc CO2 - CDC Miniature Light Trap,12
2007-35,Dry Ice CO2 - CDC Miniature Light Trap with CO2,15.545454545454543
2007-36,500cc CO2 - CDC Miniature Light Trap,32
2007-36,Dry Ice CO2 - CDC Miniature Light Trap with CO2,8.8
2007-37,500cc CO2 - CDC Miniature Light Trap,11
2007-37,Dry Ice CO2 - CDC Miniature Light Trap with CO2,21
2007-38,500cc CO2 - CDC Miniature Light Trap,11
2007-38,Dry Ice CO2 - CDC Miniature Light Trap with CO2,6.6
2007-39,500cc CO2 - CDC Miniature Light Trap,15
2007-39,Dry Ice CO2 - CDC Miniature Light Trap with CO2,10.142857142857142
2007-40,500cc CO2 - CDC Miniature Light Trap,15
2007-40,Dry Ice CO2 - CDC Miniature Light Trap with CO2,7.2
2007-41,Dry Ice CO2 - CDC Miniature Light Trap with CO2,79
2008-23,500cc CO2 - CDC Miniature Light Trap,0.8333333333333333
2008-23,Dry Ice CO2 - CDC Miniature Light Trap with CO2,16.333333333333332
2008-24,500cc CO2 - CDC Miniature Light Trap,41
2008-24,Dry Ice CO2 - CDC Miniature Light Trap with CO2,24.375
2008-25,500cc CO2 - CDC Miniature Light Trap,6
2008-25,Dry Ice CO2 - CDC Miniature Light Trap with CO2,25
2008-26,500cc CO2 - CDC Miniature Light Trap,3
2008-26,Dry Ice CO2 - CDC Miniature Light Trap with CO2,16.142857142857142
2008-27,500cc CO2 - CDC Miniature Light Trap,22.333333333333332
2008-27,Dry Ice CO2 - CDC Miniature Light Trap with CO2,23.2
2008-28,500cc CO2 - CDC Miniature Light Trap,13.333333333333332
2008-28,Dry Ice CO2 - CDC Miniature Light Trap with CO2,10.75
2008-29,500cc CO2 - CDC Miniature Light Trap,1
2008-29,Dry Ice CO2 - CDC Miniature Light Trap with CO2,4.8
2008-30,500cc CO2 - CDC Miniature Light Trap,11
2008-30,Dry Ice CO2 - CDC Miniature Light Trap with CO2,1.2
2008-31,500cc CO2 - CDC Miniature Light Trap,16
2008-31,Dry Ice CO2 - CDC Miniature Light Trap with CO2,7.8
2008-32,500cc CO2 - CDC Miniature Light Trap,11.333333333333334
2008-32,Dry Ice CO2 - CDC Miniature Light Trap with CO2,13.333333333333334
2008-33,500cc CO2 - CDC Miniature Light Trap,4.6
2008-33,Dry Ice CO2 - CDC Miniature Light Trap with CO2,8
2008-34,500cc CO2 - CDC Miniature Light Trap,11.666666666666666
2008-34,Dry Ice CO2 - CDC Miniature Light Trap with CO2,16.6
2008-35,500cc CO2 - CDC Miniature Light Trap,1.4
2008-35,Dry Ice CO2 - CDC Miniature Light Trap with CO2,12
2008-36,500cc CO2 - CDC Miniature Light Trap,15.333333333333332
2008-36,Dry Ice CO2 - CDC Miniature Light Trap with CO2,10.2
2008-37,500cc CO2 - CDC Miniature Light Trap,7
2008-37,Dry Ice CO2 - CDC Miniature Light Trap with CO2,15.6
2008-38,500cc CO2 - CDC Miniature Light Trap,30.5
2008-38,Dry Ice CO2 - CDC Miniature Light Trap with CO2,33.8
2008-39,500cc CO2 - CDC Miniature Light Trap,1
2008-39,Dry Ice CO2 - CDC Miniature Light Trap with CO2,14.4
2008-40,Dry Ice CO2 - CDC Miniature Light Trap with CO2,8.5
2008-41,Dry Ice CO2 - CDC Miniature Light Trap with CO2,26
2009-23,500cc CO2 - CDC Miniature Light Trap,1
2009-23,Dry Ice CO2 - CDC Miniature Light Trap with CO2,62.5
2009-24,Dry Ice CO2 - CDC Miniature Light Trap with CO2,79.25
2009-25,Dry Ice CO2 - CDC Miniature Light Trap with CO2,30.5
2009-26,Dry Ice CO2 - CDC Miniature Light Trap with CO2,29.666666666666664
2009-27,Dry Ice CO2 - CDC Miniature Light Trap with CO2,13.8
2009-28,Dry Ice CO2 - CDC Miniature Light Trap with CO2,19
2009-29,500cc CO2 - CDC Miniature Light Trap,53
2009-29,Dry Ice CO2 - CDC Miniature Light Trap with CO2,17.2
2009-30,500cc CO2 - CDC Miniature Light Trap,23.5
2009-30,Dry Ice CO2 - CDC Miniature Light Trap with CO2,57.66666666666667
2009-31,500cc CO2 - CDC Miniature Light Trap,50
2009-31,Dry Ice CO2 - CDC Miniature Light Trap with CO2,20.25
2009-32,500cc CO2 - CDC Miniature Light Trap,50
2009-32,Dry Ice CO2 - CDC Miniature Light Trap with CO2,45.6
2009-33,500cc CO2 - CDC Miniature Light Trap,149.5
2009-33,Dry Ice CO2 - CDC Miniature Light Trap with CO2,45.5
2009-34,500cc CO2 - CDC Miniature Light Trap,65.5
2009-34,Dry Ice CO2 - CDC Miniature Light Trap with CO2,173.25
2009-35,500cc CO2 - CDC Miniature Light Trap,108
2009-35,Dry Ice CO2 - CDC Miniature Light Trap with CO2,214
2009-36,500cc CO2 - CDC Miniature Light Trap,47.5
2009-36,Dry Ice CO2 - CDC Miniature Light Trap with CO2,85
2009-37,500cc CO2 - CDC Miniature Light Trap,87
2009-37,Dry Ice CO2 - CDC Miniature Light Trap with CO2,48.75
2009-38,500cc CO2 - CDC Miniature Light Trap,109
2009-38,Dry Ice CO2 - CDC Miniature Light Trap with CO2,121.4
2009-39,500cc CO2 - CDC Miniature Light Trap,129
2009-39,Dry Ice CO2 - CDC Miniature Light Trap with CO2,51.142857142857146
2009-40,500cc CO2 - CDC Miniature Light Trap,40
2009-40,Dry Ice CO2 - CDC Miniature Light Trap with CO2,139.8
2009-41,Dry Ice CO2 - CDC Miniature Light Trap with CO2,34.2
2010-20,500cc CO2 - CDC Miniature Light Trap,19
2010-22,500cc CO2 - CDC Miniature Light Trap,11.5
2010-22,Dry Ice CO2 - CDC Miniature Light Trap with CO2,103.8
2010-24,500cc CO2 - CDC Miniature Light Trap,41
2010-24,Dry Ice CO2 - CDC Miniature Light Trap with CO2,129.66666666666666
2010-25,500cc CO2 - CDC Miniature Light Trap,33
2010-25,Dry Ice CO2 - CDC Miniature Light Trap with CO2,102.75
2010-26,500cc CO2 - CDC Miniature Light Trap,61
2010-26,Dry Ice CO2 - CDC Miniature Light Trap with CO2,11.5
2010-27,500cc CO2 - CDC Miniature Light Trap,15
2010-27,Dry Ice CO2 - CDC Miniature Light Trap with CO2,45.8
