"County","Town","Collection Date","Species","Virus"
"Bristol","Freetown",2014-07-31,"Culiseta melanura","EEE"
"Bristol","Freetown",2014-07-31,"Culiseta melanura","EEE"
"Bristol","New Bedford",2014-08-04,"Culiseta melanura","EEE"
"Bristol","Freetown",2014-08-08,"Culiseta melanura","EEE"
"Bristol","Westport",2014-08-11,"Culiseta melanura","EEE"
"Bristol","Freetown",2014-08-15,"Culiseta melanura","EEE"
"Bristol","Acushnet",2014-08-27,"Culiseta melanura","EEE"
"Bristol","Freetown",2014-08-27,"Culiseta melanura","EEE"
"Bristol","Freetown",2014-08-29,"Culiseta melanura","EEE"
"Bristol","New Bedford",2014-09-01,"Culiseta melanura","EEE"
"Bristol","Rehoboth",2014-09-01,"Culiseta melanura","EEE"
"Bristol","New Bedford",2014-09-03,"Culex pipiens/restuans complex","EEE"
"Bristol","Freetown",2014-09-03,"Culiseta melanura","EEE"
"Bristol","Freetown",2014-09-03,"Culiseta melanura","EEE"
"Bristol","New Bedford",2014-09-17,"Culiseta melanura","EEE"
"Essex","Amesbury",2014-09-08,"Culiseta melanura","EEE"
"Essex","Topsfield",2014-09-15,"Culiseta melanura","EEE"
"Middlesex","Tewksbury",2014-09-23,"Culex species","EEE"
"Plymouth","Bridgewater",2014-07-15,"Coquillettidia perturbans","EEE"
"Plymouth","Bridgewater",2014-07-15,"Coquillettidia perturbans","EEE"
"Plymouth","Bridgewater",2014-07-15,"Coquillettidia perturbans","EEE"
"Plymouth","Bridgewater",2014-07-15,"Coquillettidia perturbans","EEE"
"Plymouth","Lakeville",2014-08-11,"Culiseta melanura","EEE"
"Plymouth","Rochester",2014-08-12,"Culiseta melanura","EEE"
"Plymouth","Marion",2014-08-12,"Culiseta melanura","EEE"
"Plymouth","Kingston",2014-09-01,"Coquillettidia perturbans","EEE"
"Plymouth","Kingston",2014-09-01,"Uranotaenia sapphirina","EEE"
"Plymouth","Kingston",2014-09-01,"Culiseta melanura","EEE"
"Plymouth","Rochester",2014-09-03,"Culiseta melanura","EEE"
"Plymouth","Rochester",2014-09-03,"Culiseta melanura","EEE"
"Plymouth","Rochester",2014-09-03,"Culiseta melanura","EEE"
"Plymouth","Lakeville",2014-09-08,"Culiseta melanura","EEE"
"Plymouth","Marion",2014-09-16,"Culiseta melanura","EEE"
"Barnstable","Falmouth",2014-09-03,"Culex pipiens/restuans complex","WNV"
"Berkshire","Pittsfield",2014-08-28,"Culex pipiens/restuans complex","WNV"
"Berkshire","Richmond",2014-09-06,"Culex pipiens/restuans complex","WNV"
"Bristol","Mansfield",2014-08-05,"Culex pipiens/restuans complex","WNV"
"Bristol","Easton",2014-08-05,"Culex pipiens/restuans complex","WNV"
"Bristol","Dighton",2014-08-08,"Culex pipiens/restuans complex","WNV"
"Bristol","Easton",2014-08-15,"Culex pipiens/restuans complex","WNV"
"Bristol","Fall River",2014-08-15,"Culex pipiens/restuans complex","WNV"
"Bristol","Easton",2014-08-28,"Culiseta melanura","WNV"
"Bristol","Freetown",2014-08-29,"Culiseta melanura","WNV"
"Bristol","Attleboro",2014-09-05,"Culex pipiens/restuans complex","WNV"
"Essex","Newburyport",2014-07-14,"Culex pipiens/restuans complex","WNV"
"Essex","Saugus",2014-08-25,"Culex pipiens/restuans complex","WNV"
"Essex","Peabody",2014-09-08,"Culex salinarius","WNV"
"Essex","Peabody",2014-09-08,"Coquillettidia perturbans","WNV"
"Essex","Peabody",2014-09-08,"Ochlerotatus triseriatus","WNV"
"Essex","Rowley",2014-09-08,"Culex pipiens/restuans complex","WNV"
"Essex","Lynn",2014-09-15,"Culex pipiens/restuans complex","WNV"
"Middlesex","Belmont",2014-07-22,"Culex pipiens/restuans complex","WNV"
"Middlesex","Everett",2014-07-29,"Culex pipiens/restuans complex","WNV"
"Middlesex","Medford",2014-07-29,"Culex pipiens/restuans complex","WNV"
"Middlesex","Medford",2014-07-29,"Culex pipiens/restuans complex","WNV"
"Middlesex","Newton",2014-08-05,"Culex pipiens/restuans complex","WNV"
"Middlesex","Burlington",2014-08-07,"Culex pipiens/restuans complex","WNV"
"Middlesex","Arlington",2014-08-12,"Culex pipiens/restuans complex","WNV"
"Middlesex","Medford",2014-08-21,"Culex pipiens/restuans complex","WNV"
"Middlesex","Cambridge",2014-08-26,"Culex pipiens/restuans complex","WNV"
"Middlesex","Everett",2014-09-09,"Culex pipiens/restuans complex","WNV"
"Middlesex","Medford",2014-09-09,"Culex pipiens/restuans complex","WNV"
"Middlesex","Newton",2014-09-17,"Culex pipiens/restuans complex","WNV"
"Norfolk","Canton",2014-07-08,"Culex pipiens/restuans complex","WNV"
"Norfolk","Stoughton",2014-08-06,"Culex pipiens/restuans complex","WNV"
"Plymouth","Middleborough",2014-08-12,"Culex pipiens/restuans complex","WNV"
"Plymouth","Bridgewater",2014-09-03,"Culex pipiens/restuans complex","WNV"
"Plymouth","Wareham",2014-09-16,"Culex pipiens/restuans complex","WNV"
"Plymouth","Middleborough",2014-09-16,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-07-25,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-07-29,"Culex species","WNV"
"Suffolk","Boston",2014-08-06,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-08-12,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-08-12,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-08-12,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-08-12,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-08-15,"Culex pipiens","WNV"
"Suffolk","Boston",2014-08-19,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-08-26,"Culex pipiens/restuans complex","WNV"
"Suffolk","Chelsea",2014-08-26,"Culex pipiens/restuans complex","WNV"
"Suffolk","Chelsea",2014-08-26,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-08-27,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-09-03,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-09-09,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-09-11,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-09-16,"Culex pipiens/restuans complex","WNV"
"Suffolk","Boston",2014-09-16,"Culex pipiens/restuans complex","WNV"
"Worcester","Clinton",2014-07-03,"Culex species","WNV"
"Worcester","Worcester",2014-09-10,"Culex pipiens/restuans complex","WNV"
"Worcester","Northbridge",2015-09-25,"Culex pipiens/restuans complex","EEE"
"Barnstable","Barnstable",2015-08-18,"Culex pipiens/restuans complex","WNV"
"Barnstable","Falmouth",2015-08-18,"Culex pipiens/restuans complex","WNV"
"Berkshire","Otis",2015-08-19,"Culex pipiens/restuans complex","WNV"
"Berkshire","Pittsfield",2015-08-05,"Culex pipiens/restuans complex","WNV"
"Berkshire","Pittsfield",2015-08-05,"Culex pipiens/restuans complex","WNV"
