"MapDate","RegionName","None","D0","D1","D2","D3","D4","ValidStart","ValidEnd","StatisticFormatID","week_num","DSCI_fema"
2023-10-31,"I",100,0,0,0,0,0,2023-10-31,2023-11-06,1,"2023-44",0
2023-10-31,"II",77.45,22.55,2.59,0.64,0,0,2023-10-31,2023-11-06,1,"2023-44",25.78
2023-10-31,"III",51.8,48.2,16.98,4.48,0,0,2023-10-31,2023-11-06,1,"2023-44",69.66
2023-10-31,"IV",26.03,73.97,55.96,33.68,20.13,4.32,2023-10-31,2023-11-06,1,"2023-44",188.06
2023-10-24,"I",100,0,0,0,0,0,2023-10-24,2023-10-30,1,"2023-43",0
2023-10-24,"II",79.7,20.3,3.16,0.64,0,0,2023-10-24,2023-10-30,1,"2023-43",24.1
2023-10-24,"III",58.99,41.01,11.32,4.07,0,0,2023-10-24,2023-10-30,1,"2023-43",56.4
2023-10-24,"IV",31.8,68.2,48.53,27.69,11.73,3.98,2023-10-24,2023-10-30,1,"2023-43",160.13
2023-10-17,"I",100,0,0,0,0,0,2023-10-17,2023-10-23,1,"2023-42",0
2023-10-17,"II",84.3,15.7,3.16,0.64,0,0,2023-10-17,2023-10-23,1,"2023-42",19.5
2023-10-17,"III",56.32,43.68,12.12,4.07,0,0,2023-10-17,2023-10-23,1,"2023-42",59.87
2023-10-17,"IV",32.62,67.38,44.42,22.91,9.23,3.86,2023-10-17,2023-10-23,1,"2023-42",147.8
2023-10-10,"I",100,0,0,0,0,0,2023-10-10,2023-10-16,1,"2023-41",0
2023-10-10,"II",85.52,14.48,2.75,0.64,0,0,2023-10-10,2023-10-16,1,"2023-41",17.87
2023-10-10,"III",56.76,43.24,11.36,2.82,0,0,2023-10-10,2023-10-16,1,"2023-41",57.42
2023-10-10,"IV",31.64,68.36,36.79,15.21,7.83,4.05,2023-10-10,2023-10-16,1,"2023-41",132.24
2023-10-03,"I",100,0,0,0,0,0,2023-10-03,2023-10-09,1,"2023-40",0
2023-10-03,"II",82.73,17.27,3.49,1.18,0,0,2023-10-03,2023-10-09,1,"2023-40",21.94
2023-10-03,"III",62.68,37.32,10.91,2.16,0,0,2023-10-03,2023-10-09,1,"2023-40",50.39
2023-10-03,"IV",39.67,60.33,31.33,12.89,7.57,3.24,2023-10-03,2023-10-09,1,"2023-40",115.36
2023-09-26,"I",100,0,0,0,0,0,2023-09-26,2023-10-02,1,"2023-39",0
2023-09-26,"II",85.83,14.17,1.96,0,0,0,2023-09-26,2023-10-02,1,"2023-39",16.13
2023-09-26,"III",70.36,29.64,10.06,2.16,0,0,2023-09-26,2023-10-02,1,"2023-39",41.86
2023-09-26,"IV",52.46,47.54,20.33,11.4,6.43,3.14,2023-09-26,2023-10-02,1,"2023-39",88.84
2023-09-19,"I",100,0,0,0,0,0,2023-09-19,2023-09-25,1,"2023-38",0
2023-09-19,"II",86.22,13.78,1.94,0,0,0,2023-09-19,2023-09-25,1,"2023-38",15.72
2023-09-19,"III",62.36,37.64,12.09,3.26,0,0,2023-09-19,2023-09-25,1,"2023-38",52.99
2023-09-19,"IV",60.08,39.92,14.89,8.49,5.63,2.64,2023-09-19,2023-09-25,1,"2023-38",71.57
2023-09-12,"I",100,0,0,0,0,0,2023-09-12,2023-09-18,1,"2023-37",0
2023-09-12,"II",92.31,7.69,1.94,0,0,0,2023-09-12,2023-09-18,1,"2023-37",9.63
2023-09-12,"III",73.97,26.03,9.19,2.22,0,0,2023-09-12,2023-09-18,1,"2023-37",37.44
2023-09-12,"IV",73.67,26.33,12.2,6.71,4.21,0.86,2023-09-12,2023-09-18,1,"2023-37",50.31
2023-09-05,"I",100,0,0,0,0,0,2023-09-05,2023-09-11,1,"2023-36",0
2023-09-05,"II",91.21,8.79,2.32,0,0,0,2023-09-05,2023-09-11,1,"2023-36",11.11
2023-09-05,"III",70.17,29.83,9.31,2.27,0,0,2023-09-05,2023-09-11,1,"2023-36",41.41
2023-09-05,"IV",77.99,22.01,9.6,5.33,2.62,0.09,2023-09-05,2023-09-11,1,"2023-36",39.65
2023-08-29,"I",100,0,0,0,0,0,2023-08-29,2023-09-04,1,"2023-35",0
2023-08-29,"II",91.78,8.22,1.65,0,0,0,2023-08-29,2023-09-04,1,"2023-35",9.87
2023-08-29,"III",78.9,21.1,7.26,0.76,0,0,2023-08-29,2023-09-04,1,"2023-35",29.12
2023-08-29,"IV",71.47,28.53,13.33,5.15,2.15,0,2023-08-29,2023-09-04,1,"2023-35",49.16
2023-08-22,"I",100,0,0,0,0,0,2023-08-22,2023-08-28,1,"2023-34",0
2023-08-22,"II",87.9,12.1,1.65,0.09,0,0,2023-08-22,2023-08-28,1,"2023-34",13.84
2023-08-22,"III",79.8,20.2,3.7,0,0,0,2023-08-22,2023-08-28,1,"2023-34",23.9
2023-08-22,"IV",71.86,28.14,10.58,2.89,0.11,0,2023-08-22,2023-08-28,1,"2023-34",41.72
2023-08-15,"I",100,0,0,0,0,0,2023-08-15,2023-08-21,1,"2023-33",0
2023-08-15,"II",86.04,13.96,4.08,0.43,0,0,2023-08-15,2023-08-21,1,"2023-33",18.47
2023-08-15,"III",84.91,15.09,3.34,0,0,0,2023-08-15,2023-08-21,1,"2023-33",18.43
2023-08-15,"IV",79.86,20.14,4.87,0.88,0.15,0,2023-08-15,2023-08-21,1,"2023-33",26.04
2023-08-08,"I",99.79,0.21,0,0,0,0,2023-08-08,2023-08-14,1,"2023-32",0.21
2023-08-08,"II",83.18,16.82,6.47,0.43,0,0,2023-08-08,2023-08-14,1,"2023-32",23.72
2023-08-08,"III",81.66,18.34,3.47,0,0,0,2023-08-08,2023-08-14,1,"2023-32",21.81
2023-08-08,"IV",88.13,11.87,1.32,0.54,0.14,0,2023-08-08,2023-08-14,1,"2023-32",13.87
2023-08-01,"I",100,0,0,0,0,0,2023-08-01,2023-08-07,1,"2023-31",0
2023-08-01,"II",80.79,19.21,6.47,0.43,0,0,2023-08-01,2023-08-07,1,"2023-31",26.11
2023-08-01,"III",79.79,20.21,4.4,0.99,0,0,2023-08-01,2023-08-07,1,"2023-31",25.6
2023-08-01,"IV",87.76,12.24,1.51,0.44,0.14,0,2023-08-01,2023-08-07,1,"2023-31",14.33
2023-07-25,"I",99.83,0.17,0,0,0,0,2023-07-25,2023-07-31,1,"2023-30",0.17
2023-07-25,"II",72.98,27.02,7.98,0.43,0,0,2023-07-25,2023-07-31,1,"2023-30",35.43
2023-07-25,"III",72.57,27.43,7.65,0.68,0,0,2023-07-25,2023-07-31,1,"2023-30",35.76
2023-07-25,"IV",91.01,8.99,1.71,0.44,0.14,0,2023-07-25,2023-07-31,1,"2023-30",11.28
2023-07-18,"I",99.23,0.77,0,0,0,0,2023-07-18,2023-07-24,1,"2023-29",0.77
2023-07-18,"II",66.1,33.9,10.18,0,0,0,2023-07-18,2023-07-24,1,"2023-29",44.08
2023-07-18,"III",62.65,37.35,11.81,0.95,0,0,2023-07-18,2023-07-24,1,"2023-29",50.11
2023-07-18,"IV",86.78,13.22,3.1,0.62,0,0,2023-07-18,2023-07-24,1,"2023-29",16.94
