"MapDate","RegionName","None","D0","D1","D2","D3","D4","dsci","ValidStart","ValidEnd","StatisticFormatID","week_num"
2023-12-26,"IV",34.24,65.76,48.33,29.72,15.03,3.77,96.85,"12/26/23","1/1/24",1,"2023-52"
2023-12-19,"IV",35.46,64.54,48.83,34.14,13.83,2.63,99.43,"12/19/23","12/25/23",1,"2023-51"
2023-12-12,"IV",30.11,69.89,51.39,32.7,12.05,2.28,98.42,"12/12/23","12/18/23",1,"2023-50"
2023-12-05,"IV",24.91,75.09,56.89,37.54,18.98,2.37,115.78,"12/5/23","12/11/23",1,"2023-49"
2023-11-28,"IV",25.3,74.7,60.34,41.17,22.24,4.29,128.04,"11/28/23","12/4/23",1,"2023-48"
2023-11-21,"IV",20.99,79.01,67.75,49.85,27.57,6.67,151.84,"11/21/23","11/27/23",1,"2023-47"
2023-11-14,"IV",19.67,80.33,64.48,46.21,28.14,8.33,147.16,"11/14/23","11/20/23",1,"2023-46"
2023-11-07,"IV",18.97,81.03,61.9,41.44,23.35,6.25,132.94,"11/7/23","11/13/23",1,"2023-45"
2023-10-31,"IV",26.03,73.97,55.96,33.68,20.13,4.32,114.09,"10/31/23","11/6/23",1,"2023-44"
2023-10-24,"IV",31.8,68.2,48.53,27.69,11.73,3.98,91.93,"10/24/23","10/30/23",1,"2023-43"
2023-10-17,"IV",32.62,67.38,44.42,22.91,9.23,3.86,80.42,"10/17/23","10/23/23",1,"2023-42"
2023-10-10,"IV",31.64,68.36,36.79,15.21,7.83,4.05,63.88,"10/10/23","10/16/23",1,"2023-41"
2023-10-03,"IV",39.67,60.33,31.33,12.89,7.57,3.24,55.03,"10/3/23","10/9/23",1,"2023-40"
2023-09-26,"IV",52.46,47.54,20.33,11.4,6.43,3.14,41.3,"9/26/23","10/2/23",1,"2023-39"
2023-09-19,"IV",60.08,39.92,14.89,8.49,5.63,2.64,31.65,"9/19/23","9/25/23",1,"2023-38"
2023-09-12,"IV",73.67,26.33,12.2,6.71,4.21,0.86,23.98,"9/12/23","9/18/23",1,"2023-37"
2023-09-05,"IV",77.99,22.01,9.6,5.33,2.62,0.09,17.64,"9/5/23","9/11/23",1,"2023-36"
2023-08-29,"IV",71.47,28.53,13.33,5.15,2.15,0,20.63,"8/29/23","9/4/23",1,"2023-35"
2023-08-22,"IV",71.86,28.14,10.58,2.89,0.11,0,13.58,"8/22/23","8/28/23",1,"2023-34"
2023-08-15,"IV",79.86,20.14,4.87,0.88,0.15,0,5.9,"8/15/23","8/21/23",1,"2023-33"
