"MapDate","FIPS","County","State","None","D0","D1","D2","D3","D4","ValidStart","ValidEnd","StatisticFormatID","week_num","DSCI_ma"
2024-04-09,25001,"Barnstable County","MA",100,0,0,0,0,0,"4/9/24","4/15/24",1,"2024-15",0
2024-04-02,25001,"Barnstable County","MA",100,0,0,0,0,0,"4/2/24","4/8/24",1,"2024-14",0
2024-03-26,25001,"Barnstable County","MA",100,0,0,0,0,0,"3/26/24","4/1/24",1,"2024-13",0
2024-03-19,25001,"Barnstable County","MA",100,0,0,0,0,0,"3/19/24","3/25/24",1,"2024-12",0
2024-03-12,25001,"Barnstable County","MA",100,0,0,0,0,0,"3/12/24","3/18/24",1,"2024-11",0
2024-03-05,25001,"Barnstable County","MA",100,0,0,0,0,0,"3/5/24","3/11/24",1,"2024-10",0
2024-02-27,25001,"Barnstable County","MA",100,0,0,0,0,0,"2/27/24","3/4/24",1,"2024-09",0
2024-02-20,25001,"Barnstable County","MA",100,0,0,0,0,0,"2/20/24","2/26/24",1,"2024-08",0
2024-02-13,25001,"Barnstable County","MA",64.88,35.12,0,0,0,0,"2/13/24","2/19/24",1,"2024-07",35.12
2024-02-06,25001,"Barnstable County","MA",64.88,35.12,0,0,0,0,"2/6/24","2/12/24",1,"2024-06",35.12
2024-01-30,25001,"Barnstable County","MA",64.88,35.12,0,0,0,0,"1/30/24","2/5/24",1,"2024-05",35.12
2024-01-23,25001,"Barnstable County","MA",64.88,35.12,0,0,0,0,"1/23/24","1/29/24",1,"2024-04",35.12
2024-01-16,25001,"Barnstable County","MA",64.88,35.12,0,0,0,0,"1/16/24","1/22/24",1,"2024-03",35.12
2024-01-09,25001,"Barnstable County","MA",49.28,50.72,0,0,0,0,"1/9/24","1/15/24",1,"2024-02",50.72
2024-01-02,25001,"Barnstable County","MA",49.28,50.72,0,0,0,0,"1/2/24","1/8/24",1,"2024-01",50.72
2023-12-26,25001,"Barnstable County","MA",49.28,50.72,0,0,0,0,"12/26/23","1/1/24",1,"2023-52",50.72
2023-12-19,25001,"Barnstable County","MA",49.28,50.72,0,0,0,0,"12/19/23","12/25/23",1,"2023-51",50.72
2023-12-12,25001,"Barnstable County","MA",49.28,50.72,0,0,0,0,"12/12/23","12/18/23",1,"2023-50",50.72
2023-12-05,25001,"Barnstable County","MA",49.28,50.72,0,0,0,0,"12/5/23","12/11/23",1,"2023-49",50.72
2023-11-28,25001,"Barnstable County","MA",49.28,50.72,0,0,0,0,"11/28/23","12/4/23",1,"2023-48",50.72
