"MapDate","FIPS","County","State","None","D0","D1","D2","D3","D4","dsdi","ValidStart","ValidEnd","StatisticFormatID","week_num"
2023-12-26,25005,"Bristol County","MA",100,0,0,0,0,0,0,"12/26/23","1/1/24",1,"2023-52"
2023-12-19,25005,"Bristol County","MA",100,0,0,0,0,0,0,"12/19/23","12/25/23",1,"2023-51"
2023-12-12,25005,"Bristol County","MA",100,0,0,0,0,0,0,"12/12/23","12/18/23",1,"2023-50"
2023-12-05,25005,"Bristol County","MA",100,0,0,0,0,0,0,"12/5/23","12/11/23",1,"2023-49"
2023-11-28,25005,"Bristol County","MA",100,0,0,0,0,0,0,"11/28/23","12/4/23",1,"2023-48"
2023-11-21,25005,"Bristol County","MA",100,0,0,0,0,0,0,"11/21/23","11/27/23",1,"2023-47"
2023-11-14,25005,"Bristol County","MA",100,0,0,0,0,0,0,"11/14/23","11/20/23",1,"2023-46"
2023-11-07,25005,"Bristol County","MA",100,0,0,0,0,0,0,"11/7/23","11/13/23",1,"2023-45"
2023-10-31,25005,"Bristol County","MA",100,0,0,0,0,0,0,"10/31/23","11/6/23",1,"2023-44"
2023-10-24,25005,"Bristol County","MA",100,0,0,0,0,0,0,"10/24/23","10/30/23",1,"2023-43"
2023-10-17,25005,"Bristol County","MA",100,0,0,0,0,0,0,"10/17/23","10/23/23",1,"2023-42"
2023-10-10,25005,"Bristol County","MA",100,0,0,0,0,0,0,"10/10/23","10/16/23",1,"2023-41"
2023-10-03,25005,"Bristol County","MA",100,0,0,0,0,0,0,"10/3/23","10/9/23",1,"2023-40"
2023-09-26,25005,"Bristol County","MA",100,0,0,0,0,0,0,"9/26/23","10/2/23",1,"2023-39"
2023-09-19,25005,"Bristol County","MA",100,0,0,0,0,0,0,"9/19/23","9/25/23",1,"2023-38"
2023-09-12,25005,"Bristol County","MA",100,0,0,0,0,0,0,"9/12/23","9/18/23",1,"2023-37"
2023-09-05,25005,"Bristol County","MA",100,0,0,0,0,0,0,"9/5/23","9/11/23",1,"2023-36"
2023-08-29,25005,"Bristol County","MA",100,0,0,0,0,0,0,"8/29/23","9/4/23",1,"2023-35"
2023-08-22,25005,"Bristol County","MA",100,0,0,0,0,0,0,"8/22/23","8/28/23",1,"2023-34"
2023-08-15,25005,"Bristol County","MA",100,0,0,0,0,0,0,"8/15/23","8/21/23",1,"2023-33"
2023-08-08,25005,"Bristol County","MA",100,0,0,0,0,0,0,"8/8/23","8/14/23",1,"2023-32"
2023-08-01,25005,"Bristol County","MA",100,0,0,0,0,0,0,"8/1/23","8/7/23",1,"2023-31"
2023-07-25,25005,"Bristol County","MA",100,0,0,0,0,0,0,"7/25/23","7/31/23",1,"2023-30"
2023-07-18,25005,"Bristol County","MA",100,0,0,0,0,0,0,"7/18/23","7/24/23",1,"2023-29"
2023-07-11,25005,"Bristol County","MA",100,0,0,0,0,0,0,"7/11/23","7/17/23",1,"2023-28"
2023-07-04,25005,"Bristol County","MA",100,0,0,0,0,0,0,"7/4/23","7/10/23",1,"2023-27"
2023-06-27,25005,"Bristol County","MA",100,0,0,0,0,0,0,"6/27/23","7/3/23",1,"2023-26"
2023-06-20,25005,"Bristol County","MA",100,0,0,0,0,0,0,"6/20/23","6/26/23",1,"2023-25"
2023-06-13,25005,"Bristol County","MA",80.67,19.33,0,0,0,0,19.33,"6/13/23","6/19/23",1,"2023-24"
2023-06-06,25005,"Bristol County","MA",78.26,21.74,0,0,0,0,21.74,"6/6/23","6/12/23",1,"2023-23"
2023-05-30,25005,"Bristol County","MA",78.37,21.63,0,0,0,0,21.63,"5/30/23","6/5/23",1,"2023-22"
2023-05-23,25005,"Bristol County","MA",78.37,21.63,0,0,0,0,21.63,"5/23/23","5/29/23",1,"2023-21"
2023-05-16,25005,"Bristol County","MA",0,100,0,0,0,0,100,"5/16/23","5/22/23",1,"2023-20"
2023-05-09,25005,"Bristol County","MA",0,100,0,0,0,0,100,"5/9/23","5/15/23",1,"2023-19"
2023-05-02,25005,"Bristol County","MA",0,100,3.15,0,0,0,103.15,"5/2/23","5/8/23",1,"2023-18"
2023-04-25,25005,"Bristol County","MA",0,100,3.15,0,0,0,103.15,"4/25/23","5/1/23",1,"2023-17"
2023-04-18,25005,"Bristol County","MA",17.55,82.45,0,0,0,0,82.45,"4/18/23","4/24/23",1,"2023-16"
2023-04-11,25005,"Bristol County","MA",100,0,0,0,0,0,0,"4/11/23","4/17/23",1,"2023-15"
2023-04-04,25005,"Bristol County","MA",100,0,0,0,0,0,0,"4/4/23","4/10/23",1,"2023-14"
2023-03-28,25005,"Bristol County","MA",100,0,0,0,0,0,0,"3/28/23","4/3/23",1,"2023-13"
2023-03-21,25005,"Bristol County","MA",100,0,0,0,0,0,0,"3/21/23","3/27/23",1,"2023-12"
2023-03-14,25005,"Bristol County","MA",100,0,0,0,0,0,0,"3/14/23","3/20/23",1,"2023-11"
2023-03-07,25005,"Bristol County","MA",100,0,0,0,0,0,0,"3/7/23","3/13/23",1,"2023-10"
2023-02-28,25005,"Bristol County","MA",100,0,0,0,0,0,0,"2/28/23","3/6/23",1,"2023-09"
2023-02-21,25005,"Bristol County","MA",100,0,0,0,0,0,0,"2/21/23","2/27/23",1,"2023-08"
2023-02-14,25005,"Bristol County","MA",100,0,0,0,0,0,0,"2/14/23","2/20/23",1,"2023-07"
2023-02-07,25005,"Bristol County","MA",100,0,0,0,0,0,0,"2/7/23","2/13/23",1,"2023-06"
2023-01-31,25005,"Bristol County","MA",100,0,0,0,0,0,0,"1/31/23","2/6/23",1,"2023-05"
2023-01-24,25005,"Bristol County","MA",100,0,0,0,0,0,0,"1/24/23","1/30/23",1,"2023-04"
2023-01-17,25005,"Bristol County","MA",99.97,0.03,0,0,0,0,0.03,"1/17/23","1/23/23",1,"2023-03"
2023-01-10,25005,"Bristol County","MA",99.97,0.03,0,0,0,0,0.03,"1/10/23","1/16/23",1,"2023-02"
2023-01-03,25005,"Bristol County","MA",99.97,0.03,0,0,0,0,0.03,"1/3/23","1/9/23",1,"2023-01"
2022-12-27,25005,"Bristol County","MA",99.97,0.03,0,0,0,0,0.03,"12/27/22","1/2/23",1,"2022-52"
