week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,week_num.y,Avg_TMAX,Total_PRCP,Lagged_week_num,week_num.y.y,Hours_Above_80,Hours_Above_75,Hours_Below_50,Avg_HourlyDryBulbTemperature,Avg_HourlyRelativeHumidity,Avg_HourlyWetBulbTemperature,Avg_HourlyWindSpeed,MapDate.x,RegionName,None.x,D0.x,D1.x,D2.x,D3.x,D4.x,ValidStart.x,ValidEnd.x,StatisticFormatID.x,DSCI_fema,MapDate.y,FIPS,County,State,None.y,D0.y,D1.y,D2.y,D3.y,D4.y,ValidStart.y,ValidEnd.y,StatisticFormatID.y,DSCI_ma,average_daylight_hours,Average_MEL,Total_MEL,Total_All,MEL_Prop
2007-23,53,0,2963,0,2007-22,80.71428571428571,0.8300000000000001,2007-21,2007-22,24,47,14,65.24705882352941,72.5450980392157,59.20000000000001,4.136986301369865,2007-06-05,I,100,0,0,0,0,0,2007-06-05,2007-06-11,1,0,2007-06-05,25001,Barnstable County,MA,100,0,0,0,0,0,6/5/07,6/11/07,1,0,-8.88257936507937,112.16666666666669,1652,3331,0.4959471630141099
2007-25,16,0,2336,0,2007-24,74,0.3,2007-23,2007-24,11,28,20,62.416058394160586,73.1094890510949,57.02919708029198,5.865168539325841,2007-06-19,I,100,0,0,0,0,0,2007-06-19,2007-06-25,1,0,2007-06-19,25001,Barnstable County,MA,100,0,0,0,0,0,6/19/07,6/25/07,1,0,-8.77535714285714,165.66666666666666,998,2500,0.3992
2007-26,19,0,2309,0,2007-25,79.57142857142857,0.33999999999999997,2007-24,2007-25,16,43,5,67.79069767441861,65.74883720930231,60.10697674418604,4.990566037735851,2007-06-26,I,100,0,0,0,0,0,2007-06-26,2007-07-02,1,0,2007-06-26,25001,Barnstable County,MA,100,0,0,0,0,0,6/26/07,7/2/07,1,0,-8.80031746031746,11.166666666666668,410,4246,0.09656146961846444
2007-27,20,1,1894,0.5279831045406547,2007-26,86.14285714285714,0.27,2007-25,2007-26,54,81,0,74.45989304812835,64.2673796791444,65.91978609625667,5.950276243093922,2007-07-03,I,90.55,9.45,0,0,0,0,2007-07-03,2007-07-09,1,9.45,2007-07-03,25001,Barnstable County,MA,100,0,0,0,0,0,7/3/07,7/9/07,1,0,-8.8765873015873,15.857142857142858,302,2336,0.1292808219178082
2007-28,31,0,2860,0,2007-27,83.85714285714286,1.41,2007-26,2007-27,32,63,16,69.06400000000002,70.35999999999999,62.25200000000001,5.465587044534413,2007-07-10,I,86.87,13.13,0,0,0,0,2007-07-10,2007-07-16,1,13.13,2007-07-10,25001,Barnstable County,MA,100,0,0,0,0,0,7/10/07,7/16/07,1,0,-9.00126984126984,27.333333333333336,928,3190,0.2909090909090909
2007-29,48,0,3967,0,2007-28,88.28571428571429,0.17,2007-27,2007-28,71,134,0,74.05597014925374,73.47014925373134,67.77611940298507,5.015503875968994,2007-07-17,I,90.87,9.13,0,0,0,0,2007-07-17,2007-07-23,1,9.13,2007-07-17,25001,Barnstable County,MA,100,0,0,0,0,0,7/17/07,7/23/07,1,0,-9.16916666666667,61.900000000000006,1507,4598,0.3277511961722488
2007-30,31,1,2642,0.3785011355034065,2007-29,83.42857142857143,1.09,2007-28,2007-29,35,115,0,72.33435582822086,75.21472392638036,66.73926380368098,3.083076923076921,2007-07-24,I,90.87,9.13,0,0,0,0,2007-07-24,2007-07-30,1,9.13,2007-07-24,25001,Barnstable County,MA,100,0,0,0,0,0,7/24/07,7/30/07,1,0,-9.37440476190476,27.75,638,3087,0.20667314544865564
2007-31,32,0,2693,0,2007-30,86.57142857142857,0.51,2007-29,2007-30,67,131,0,74.4982206405694,73.77935943060498,68.29893238434164,3.8327402135231305,2007-07-31,I,86.45,13.55,0,0,0,0,2007-07-31,2007-08-06,1,13.55,2007-07-31,25001,Barnstable County,MA,100,0,0,0,0,0,7/31/07,8/6/07,1,0,-6.18234126984127,70.25,1170,2692,0.4346210995542348
2007-32,39,1,2590,0.3861003861003861,2007-31,90.14285714285714,1.63,2007-30,2007-31,81,121,0,75.9625468164794,72.5543071161049,69.09737827715355,3.1908396946564883,2007-08-07,I,80.69,19.31,0,0,0,0,2007-08-07,2007-08-13,1,19.31,2007-08-07,25001,Barnstable County,MA,100,0,0,0,0,0,8/7/07,8/13/07,1,0,14.127380952381,21.09090909090909,843,2226,0.3787061994609165
2007-33,28,0,2263,0,2007-32,83,0.52,2007-31,2007-32,44,115,0,70.24731182795699,74.1146953405018,64.3763440860215,3.3906810035842256,2007-08-14,I,100,0,0,0,0,0,2007-08-14,2007-08-20,1,0,2007-08-14,25001,Barnstable County,MA,100,0,0,0,0,0,8/14/07,8/20/07,1,0,13.8461507936508,15.09090909090909,730,2307,0.3164282618118769
2007-34,25,0,1527,0,2007-33,82.85714285714286,0.3700000000000001,2007-32,2007-33,30,84,20,67.76014760147602,74.05535055350553,62.06666666666666,3.44943820224719,2007-08-21,I,100,0,0,0,0,0,2007-08-21,2007-08-27,1,0,2007-08-21,25001,Barnstable County,MA,100,0,0,0,0,0,8/21/07,8/27/07,1,0,13.5496825396825,9.666666666666668,391,1633,0.23943661971830985
2007-35,17,2,1363,1.467351430667645,2007-34,81.85714285714286,0.04,2007-33,2007-34,33,68,3,67.01393728222993,75.11846689895471,61.67482517482517,2.993006993006998,2007-08-28,I,87.93,12.07,0,0,0,0,2007-08-28,2007-09-03,1,12.07,2007-08-28,25001,Barnstable County,MA,100,0,0,0,0,0,8/28/07,9/3/07,1,0,13.2421428571429,15,552,1474,0.3744911804613298
2007-36,9,0,725,0,2007-35,85.57142857142857,0.04,2007-34,2007-35,45,71,36,63.74698795180723,73.92168674698794,57.97289156626507,1.7710843373493987,2007-09-04,I,80.11,19.89,3.37,0,0,0,2007-09-04,2007-09-10,1,23.26,2007-09-04,25001,Barnstable County,MA,0,100,0,0,0,0,9/4/07,9/10/07,1,100,12.9265873015873,12.666666666666668,181,622,0.2909967845659164
2007-37,14,0,1125,0,2007-36,82.85714285714286,0.01,2007-35,2007-36,31,58,27,66.32765957446809,70.9531914893617,59.94042553191488,4.329059829059832,2007-09-11,I,82.13,17.87,3.37,0,0,0,2007-09-11,2007-09-17,1,21.24,2007-09-11,25001,Barnstable County,MA,0,100,0,0,0,0,9/11/07,9/17/07,1,100,12.6056746031746,19.88888888888889,286,717,0.398884239888424
2007-38,7,0,373,0,2007-37,73.85714285714286,1.73,2007-36,2007-37,0,24,109,58.333333333333314,78.0183486238532,54.31901840490798,2.9388379204892945,2007-09-18,I,83,17,0,0,0,0,2007-09-18,2007-09-24,1,17,2007-09-18,25001,Barnstable County,MA,0,100,0,0,0,0,9/18/07,9/24/07,1,100,12.2813888888889,7.857142857142857,196,373,0.5254691689008043
2007-39,12,0,378,0,2007-38,76.57142857142857,0.01,2007-37,2007-38,13,32,166,55.55399061032868,78.99061032863851,51.725352112676035,2.0635294117647067,2007-09-25,I,73.32,26.68,5.93,0,0,0,2007-09-25,2007-10-01,1,32.61,2007-09-25,25001,Barnstable County,MA,0,100,0,0,0,0,9/25/07,10/1/07,1,100,11.9556746031746,10.75,160,335,0.47761194029850745
2007-40,7,1,179,5.58659217877095,2007-39,81.42857142857143,0.19,2007-38,2007-39,23,59,37,66.55752212389379,69.2699115044248,59.85840707964603,4.464601769911506,2007-10-02,I,47.13,52.87,5.93,0,0,0,2007-10-02,2007-10-08,1,58.8,2007-10-02,25001,Barnstable County,MA,0,100,0,0,0,0,10/2/07,10/8/07,1,100,11.6304761904762,8.5,128,160,0.8
2007-41,2,0,189,0,2007-40,79.42857142857143,0.03,2007-39,2007-40,19,40,87,61.78827361563516,77.9055374592834,57.47231270358304,2.242622950819671,2007-10-09,I,41.41,58.59,16.11,0,0,0,2007-10-09,2007-10-15,1,74.7,2007-10-09,25001,Barnstable County,MA,0,100,100,0,0,0,10/9/07,10/15/07,1,200,11.3077777777778,79,189,189,1
2008-23,3,0,112,0,2008-22,75.14285714285714,0.13,2008-21,2008-22,2,16,28,60.98445595854922,66.25906735751295,54.07253886010362,6.942408376963349,2008-06-03,I,100,0,0,0,0,0,2008-06-03,2008-06-09,1,0,2008-06-03,25001,Barnstable County,MA,100,0,0,0,0,0,6/3/08,6/9/08,1,0,-8.90222222222222,10.133333333333333,217,1620,0.1339506172839506
2008-24,9,0,733,0,2008-23,76,0.5199999999999999,2008-22,2008-23,28,45,10,61.8361204013378,80.33779264214047,57.56856187290971,4.214046822742474,2008-06-10,I,59.32,40.68,0,0,0,0,2008-06-10,2008-06-16,1,40.68,2008-06-10,25001,Barnstable County,MA,0,100,0,0,0,0,6/10/08,6/16/08,1,100,-8.81369047619048,26.22222222222222,392,2594,0.15111796453353893
2008-25,3,0,128,0,2008-24,86.14285714285714,0.33,2008-23,2008-24,55,76,4,70.47807017543862,68.85964912280701,62.75,3.486842105263158,2008-06-17,I,70.22,29.78,0,0,0,0,2008-06-17,2008-06-23,1,29.78,2008-06-17,25001,Barnstable County,MA,0,100,0,0,0,0,6/17/08,6/23/08,1,100,-8.77642857142857,21.2,205,1449,0.1414768806073154
2008-26,10,0,627,0,2008-25,78.14285714285714,1.28,2008-24,2008-25,8,33,2,64.60424028268551,77.69964664310955,59.90106007067137,3.9010600706713783,2008-06-24,I,74.06,25.94,0,0,0,0,2008-06-24,2008-06-30,1,25.94,2008-06-24,25001,Barnstable County,MA,0,100,0,0,0,0,6/24/08,6/30/08,1,100,-8.79194444444444,13.22222222222222,383,2987,0.12822229661868095
2008-27,10,0,1798,0,2008-26,83,0.31000000000000005,2008-25,2008-26,25,84,0,70.74074074074073,80.23569023569024,66.33670033670033,3.31615120274914,2008-07-01,I,94.35,5.65,0,0,0,0,2008-07-01,2008-07-07,1,5.65,2008-07-01,25001,Barnstable County,MA,99.98,0.02,0,0,0,0,7/1/08,7/7/08,1,0.02,-8.85920634920635,22.875,601,3662,0.1641179683233206
2008-28,3,0,1295,0,2008-27,81.42857142857143,0.29000000000000004,2008-26,2008-27,45,68,0,70.91003460207614,80.14878892733563,66.42906574394463,3.445993031358884,2008-07-08,I,94.35,5.65,0,0,0,0,2008-07-08,2008-07-14,1,5.65,2008-07-08,25001,Barnstable County,MA,99.98,0.02,0,0,0,0,7/8/08,7/14/08,1,0.02,-8.97547619047619,11.454545454545457,253,4245,0.05959952885747938
2008-29,1,0,1576,0,2008-28,85.57142857142857,0,2008-27,2008-28,73,103,0,74.80952380952381,69.65238095238095,67.42380952380952,6.090476190476191,2008-07-15,I,94.35,5.65,0,0,0,0,2008-07-15,2008-07-21,1,5.65,2008-07-15,25001,Barnstable County,MA,99.98,0.02,0,0,0,0,7/15/08,7/21/08,1,0.02,-9.13607142857143,2.9,81,2551,0.03175225401803214
2008-30,2,0,1508,0,2008-29,91.42857142857144,0,2008-28,2008-29,82,117,0,71.85185185185185,75.84848484848484,65.76094276094277,2.983108108108112,2008-07-22,I,93.64,6.36,0,0,0,0,2008-07-22,2008-07-28,1,6.36,2008-07-22,25001,Barnstable County,MA,99.98,0.02,0,0,0,0,7/22/08,7/28/08,1,0.02,-9.33507936507936,5.5555555555555545,133,1438,0.09248956884561892
2008-31,5,0,1034,0,2008-30,84,4.12,2008-29,2008-30,36,95,0,71.61337209302326,81.31104651162791,67.41860465116278,5.17732558139535,2008-07-29,I,100,0,0,0,0,0,2008-07-29,2008-08-04,1,0,2008-07-29,25001,Barnstable County,MA,100,0,0,0,0,0,7/29/08,8/4/08,1,0,-9.56623015873016,10.875,124,1055,0.11753554502369667
2008-32,8,0,1569,0,2008-31,86,0.22,2008-30,2008-31,54,83,0,70.71617161716172,79.27392739273927,65.81848184818482,2.481848184818481,2008-08-05,I,100,0,0,0,0,0,2008-08-05,2008-08-11,1,0,2008-08-05,25001,Barnstable County,MA,100,0,0,0,0,0,8/5/08,8/11/08,1,0,10.7475793650794,12.333333333333334,157,2599,0.06040784917275875
2008-33,24,1,2639,0.378931413414172,2008-32,78.28571428571429,0.5399999999999999,2008-31,2008-32,7,37,0,65.28658536585367,82.7469512195122,61.77743902439025,2.4907975460122733,2008-08-12,I,100,0,0,0,0,0,2008-08-12,2008-08-18,1,0,2008-08-12,25001,Barnstable County,MA,100,0,0,0,0,0,8/12/08,8/18/08,1,0,13.8979761904762,6.111111111111111,224,2566,0.08729540140296181
2008-34,12,1,1914,0.5224660397074191,2008-33,79.71428571428571,0.8200000000000001,2008-32,2008-33,11,48,0,65.67398119122258,81.05329153605014,61.655172413793096,2.711598746081503,2008-08-19,I,100,0,0,0,0,0,2008-08-19,2008-08-25,1,0,2008-08-19,25001,Barnstable County,MA,100,0,0,0,0,0,8/19/08,8/25/08,1,0,13.6040079365079,14.75,176,2128,0.08270676691729323
2008-35,10,0,1305,0,2008-34,81.42857142857143,0.39,2008-33,2008-34,18,49,20,62.41637010676157,77.38078291814949,57.53024911032029,2.782918149466195,2008-08-26,I,100,0,0,0,0,0,2008-08-26,2008-09-01,1,0,2008-08-26,25001,Barnstable County,MA,100,0,0,0,0,0,8/26/08,9/1/08,1,0,13.2982142857143,6.7,202,1909,0.10581456259821896
2008-36,8,0,1299,0,2008-35,78.85714285714286,0.08999999999999998,2008-34,2008-35,14,45,20,65.05019305019304,76.4131274131274,59.99227799227799,3.1274131274131283,2008-09-02,I,100,0,0,0,0,0,2008-09-02,2008-09-08,1,0,2008-09-02,25001,Barnstable County,MA,100,0,0,0,0,0,9/2/08,9/8/08,1,0,12.9838492063492,12.125,273,1410,0.19361702127659575
2008-37,9,0,945,0,2008-36,82.14285714285714,3.3,2008-35,2008-36,26,110,0,69.40836012861737,79.92926045016077,64.9549839228296,4.7749196141479135,2008-09-09,I,100,0,0,0,0,0,2008-09-09,2008-09-15,1,0,2008-09-09,25001,Barnstable County,MA,100,0,0,0,0,0,9/9/08,9/15/08,1,0,12.6636904761905,12.375,313,1079,0.29008341056533826
2008-38,15,4,1591,2.51414204902577,2008-37,74,1.48,2008-36,2008-37,0,12,60,61.83734939759036,84.39457831325302,58.84036144578312,3.225903614457834,2008-09-16,I,100,0,0,0,0,0,2008-09-16,2008-09-22,1,0,2008-09-16,25001,Barnstable County,MA,100,0,0,0,0,0,9/16/08,9/22/08,1,0,12.339880952381,32.857142857142854,317,1671,0.18970676241771395
2008-39,5,0,348,0,2008-38,72.28571428571429,0.01,2008-37,2008-38,7,16,112,54.6737804878049,81.15548780487805,51.13109756097562,1.9786585365853688,2008-09-23,I,100,0,0,0,0,0,2008-09-23,2008-09-29,1,0,2008-09-23,25001,Barnstable County,MA,100,0,0,0,0,0,9/23/08,9/29/08,1,0,12.0143650793651,12.166666666666668,202,334,0.6047904191616766
2008-40,8,2,602,3.3222591362126246,2008-39,68.28571428571429,4.42,2008-38,2008-39,0,0,141,57.043373493975906,86.92289156626505,54.783132530120525,2.561445783132529,2008-09-30,I,100,0,0,0,0,0,2008-09-30,2008-10-06,1,0,2008-09-30,25001,Barnstable County,MA,100,0,0,0,0,0,9/30/08,10/6/08,1,0,11.6888888888889,8.5,167,662,0.25226586102719034
2008-41,3,0,173,0,2008-40,66.14285714285714,0.27,2008-39,2008-40,0,0,72,56.830128205128226,81.90064102564104,53.67628205128205,3.192307692307695,2008-10-07,I,100,0,0,0,0,0,2008-10-07,2008-10-13,1,0,2008-10-07,25001,Barnstable County,MA,100,0,0,0,0,0,10/7/08,10/13/08,1,0,11.3655555555556,26,49,141,0.3475177304964539
2009-26,3,0,592,0,2009-25,70.42857142857143,1.2,2009-24,2009-25,0,1,60,59.44875346260387,86.73130193905816,57.00831024930749,5.055401662049863,2009-06-23,I,100,0,0,0,0,0,2009-06-23,2009-06-29,1,0,2009-06-23,25001,Barnstable County,MA,100,0,0,0,0,0,6/23/09,6/29/09,1,0,-8.78519841269841,29.666666666666664,251,870,0.2885057471264368
2009-27,3,0,285,0,2009-26,71.42857142857143,0.99,2009-25,2009-26,2,17,0,62.90488431876608,88.91002570694089,60.84318766066838,6.188144329896915,2009-06-30,I,100,0,0,0,0,0,2009-06-30,2009-07-06,1,0,2009-06-30,25001,Barnstable County,MA,100,0,0,0,0,0,6/30/09,7/6/09,1,0,-8.84333333333333,13.8,219,2740,0.07992700729927008
2009-28,2,0,99,0,2009-27,78.14285714285714,3.01,2009-26,2009-27,1,33,0,65.57063711911357,86.57617728531854,62.78393351800554,3.5657142857142907,2009-07-07,I,100,0,0,0,0,0,2009-07-07,2009-07-13,1,0,2009-07-07,25001,Barnstable County,MA,100,0,0,0,0,0,7/7/09,7/13/09,1,0,-8.95119047619048,19,173,1391,0.12437095614665708
2009-29,8,0,1021,0,2009-28,76,1.53,2009-27,2009-28,4,25,53,60.720797720797734,83.84900284900286,57.484330484330485,3.5828571428571454,2009-07-14,I,100,0,0,0,0,0,2009-07-14,2009-07-20,1,0,2009-07-14,25001,Barnstable County,MA,100,0,0,0,0,0,7/14/09,7/20/09,1,0,-9.10416666666667,23.166666666666668,606,2786,0.21751615218951903
2009-30,25,0,2997,0,2009-29,81.42857142857143,0.87,2009-28,2009-29,23,57,4,68.35317460317462,76.19444444444443,62.95238095238094,4.290836653386455,2009-07-21,I,100,0,0,0,0,0,2009-07-21,2009-07-27,1,0,2009-07-21,25001,Barnstable County,MA,100,0,0,0,0,0,7/21/09,7/27/09,1,0,-9.29662698412698,49.125,1392,5099,0.27299470484408705
2009-31,20,0,2189,0,2009-30,78.57142857142857,2.77,2009-29,2009-30,16,49,0,67.6920731707317,87.38719512195122,65.08841463414633,4.896341463414635,2009-07-28,I,100,0,0,0,0,0,2009-07-28,2009-08-03,1,0,2009-07-28,25001,Barnstable County,MA,100,0,0,0,0,0,7/28/09,8/3/09,1,0,-9.52261904761905,26.2,590,2382,0.24769101595298068
2009-32,19,0,2398,0,2009-31,83.71428571428571,0.49,2009-30,2009-31,36,118,0,72.44761904761904,85.63809523809525,69.26984126984127,4.707006369426752,2009-08-04,I,100,0,0,0,0,0,2009-08-04,2009-08-10,1,0,2009-08-04,25001,Barnstable County,MA,100,0,0,0,0,0,8/4/09,8/10/09,1,0,7.36702380952381,46.857142857142854,915,4669,0.19597344185050333
2009-33,25,0,3552,0,2009-32,80.85714285714286,0.32,2009-31,2009-32,28,62,4,67.98867924528301,80.19622641509434,63.58490566037737,2.9132075471698133,2009-08-11,I,100,0,0,0,0,0,2009-08-11,2009-08-17,1,0,2009-08-11,25001,Barnstable County,MA,100,0,0,0,0,0,8/11/09,8/17/09,1,0,13.9493650793651,80.16666666666666,1555,4427,0.35125367065733004
2009-34,23,1,3164,0.31605562579013907,2009-33,83,0.3700000000000001,2009-32,2009-33,43,60,0,70.06985294117646,85.22794117647058,66.67279411764706,2.867647058823528,2009-08-18,I,100,0,0,0,0,0,2009-08-18,2009-08-24,1,0,2009-08-18,25001,Barnstable County,MA,100,0,0,0,0,0,8/18/09,8/24/09,1,0,13.6578174603175,137.33333333333334,1587,9014,0.17605946305746617
2009-35,31,1,3229,0.3096934035305048,2009-34,89.28571428571429,1.02,2009-33,2009-34,80,153,0,76.09022556390977,82.42481203007519,71.83082706766916,4.812030075187965,2009-08-25,I,100,0,0,0,0,0,2009-08-25,2009-08-31,1,0,2009-08-25,25001,Barnstable County,MA,100,0,0,0,0,0,8/25/09,8/31/09,1,0,13.3538888888889,178.66666666666669,1856,3871,0.4794626711444071
2009-36,22,0,2396,0,2009-35,78.85714285714286,2.4299999999999997,2009-34,2009-35,20,48,0,67.62277580071175,83.37010676156585,63.98932384341636,3.288256227758004,2009-09-01,I,100,0,0,0,0,0,2009-09-01,2009-09-07,1,0,2009-09-01,25001,Barnstable County,MA,100,0,0,0,0,0,9/1/09,9/7/09,1,0,13.040873015873,75.625,1341,2850,0.4705263157894737
2009-37,20,0,1600,0,2009-36,76.14285714285714,0.02,2009-35,2009-36,5,20,157,54.73219373219372,84.58119658119658,51.75213675213676,1.0826210826210818,2009-09-08,I,100,0,0,0,0,0,2009-09-08,2009-09-14,1,0,2009-09-08,25001,Barnstable County,MA,100,0,0,0,0,0,9/8/09,9/14/09,1,0,12.721626984127,61.5,776,1438,0.5396383866481224
2009-38,25,4,2051,1.9502681618722573,2009-37,71.42857142857143,1.5100000000000002,2009-36,2009-37,0,7,80,58.83791208791211,88.30494505494505,56.70604395604398,2.925824175824176,2009-09-15,I,100,0,0,0,0,0,2009-09-15,2009-09-21,1,0,2009-09-15,25001,Barnstable County,MA,100,0,0,0,0,0,9/15/09,9/21/09,1,0,12.3983333333333,117.85714285714285,1284,2580,0.4976744186046512
