week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Week,Year
2007-23,40,0,1749,0,23,2007
2007-25,12,0,497,0,25,2007
2007-26,7,0,280,0,26,2007
2007-27,10,1,281,3.558718861209964,27,2007
2007-28,13,0,370,0,28,2007
2007-29,25,0,982,0,29,2007
2007-30,10,1,300,3.3333333333333335,30,2007
2007-31,16,0,562,0,31,2007
2007-32,17,1,499,2.004008016032064,32,2007
2007-33,12,0,257,0,33,2007
2007-34,12,0,144,0,34,2007
2007-35,12,2,252,7.936507936507936,35,2007
2007-36,6,0,77,0,36,2007
2007-37,10,0,225,0,37,2007
2007-38,6,0,67,0,38,2007
2007-39,9,0,86,0,39,2007
2007-40,6,1,51,19.607843137254903,40,2007
2007-41,2,0,79,0,41,2007
2008-23,3,0,112,0,23,2008
2008-24,9,0,242,0,24,2008
2008-25,3,0,95,0,25,2008
2008-26,5,0,130,0,26,2008
2008-27,4,0,112,0,27,2008
2008-28,3,0,69,0,28,2008
2008-29,1,0,18,0,29,2008
2008-31,3,0,88,0,31,2008
2008-32,4,0,68,0,32,2008
2008-33,4,1,52,19.230769230769234,33,2008
2008-34,6,1,118,8.474576271186441,34,2008
2008-35,5,0,60,0,35,2008
2008-36,6,0,167,0,36,2008
2008-37,5,0,93,0,37,2008
2008-38,7,3,223,13.45291479820628,38,2008
2008-39,2,0,70,0,39,2008
2008-40,4,1,126,7.936507936507936,40,2008
2008-41,1,0,26,0,41,2008
2009-26,3,0,102,0,26,2009
2009-27,3,0,150,0,27,2009
2009-28,2,0,60,0,28,2009
2009-29,6,0,177,0,29,2009
2009-30,14,0,677,0,30,2009
2009-31,12,0,591,0,31,2009
2009-32,15,0,741,0,32,2009
2009-33,19,0,949,0,33,2009
2009-34,21,1,1031,0.9699321047526673,34,2009
2009-35,22,1,1084,0.9225092250922509,35,2009
2009-36,14,0,590,0,36,2009
2009-37,13,0,639,0,37,2009
2009-38,14,2,604,3.3112582781456954,38,2009
2009-39,12,0,473,0,39,2009
2009-40,22,3,1066,2.8142589118198873,40,2009
