week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Week,Year
2007-23,13,0,578,0,23,2007
2007-25,4,0,162,0,25,2007
2007-26,12,0,587,0,26,2007
2007-27,10,0,471,0,27,2007
2007-28,18,0,723,0,28,2007
2007-29,23,0,967,0,29,2007
2007-30,21,0,936,0,30,2007
2007-31,16,0,301,0,31,2007
2007-32,22,0,495,0,32,2007
2007-33,16,0,334,0,33,2007
2007-34,13,0,188,0,34,2007
2007-35,5,0,87,0,35,2007
2007-36,3,0,55,0,36,2007
2007-37,4,0,17,0,37,2007
2007-38,1,0,4,0,38,2007
2007-39,3,0,49,0,39,2007
2007-40,1,0,2,0,40,2007
2008-26,5,0,233,0,26,2008
2008-27,6,0,300,0,27,2008
2008-30,2,0,80,0,30,2008
2008-31,2,0,67,0,31,2008
2008-32,4,0,182,0,32,2008
2008-33,20,0,865,0,33,2008
2008-34,6,0,222,0,34,2008
2008-35,5,0,161,0,35,2008
2008-36,2,0,61,0,36,2008
2008-37,4,0,196,0,37,2008
2008-38,8,1,92,10.869565217391305,38,2008
2008-39,3,0,60,0,39,2008
2008-40,4,1,178,5.617977528089887,40,2008
2008-41,2,0,61,0,41,2008
2009-29,2,0,80,0,29,2009
2009-30,11,0,498,0,30,2009
2009-31,8,0,347,0,31,2009
2009-32,4,0,131,0,32,2009
2009-33,6,0,254,0,33,2009
2009-34,2,0,41,0,34,2009
2009-35,9,0,421,0,35,2009
2009-36,8,0,399,0,36,2009
2009-37,7,0,297,0,37,2009
2009-38,11,2,533,3.75234521575985,38,2009
2009-39,14,1,588,1.7006802721088434,39,2009
2009-40,6,1,292,3.4246575342465753,40,2009
2009-41,4,0,167,0,41,2009
2010-26,3,0,150,0,26,2010
2010-27,4,0,200,0,27,2010
2010-28,10,0,445,0,28,2010
2010-29,7,0,287,0,29,2010
2010-30,15,1,423,2.3640661938534278,30,2010
2010-31,38,0,1013,0,31,2010
2010-32,2,0,48,0,32,2010
2010-33,2,0,38,0,33,2010
2010-34,3,0,84,0,34,2010
2010-36,2,0,32,0,36,2010
2010-38,1,0,50,0,38,2010
2011-25,1,0,31,0,25,2011
2011-27,11,0,490,0,27,2011
2011-28,3,0,143,0,28,2011
2011-29,7,0,320,0,29,2011
2011-30,8,0,289,0,30,2011
2011-31,6,0,215,0,31,2011
2011-32,6,0,81,0,32,2011
2011-33,8,1,229,4.366812227074235,33,2011
2011-34,10,2,174,11.494252873563218,34,2011
2011-35,19,0,402,0,35,2011
2011-36,23,0,722,0,36,2011
2011-37,11,1,255,3.9215686274509802,37,2011
2011-38,10,0,243,0,38,2011
2011-39,4,0,156,0,39,2011
2011-42,4,0,77,0,42,2011
2012-21,1,0,45,0,21,2012
2012-23,6,0,300,0,23,2012
2012-24,16,0,623,0,24,2012
2012-25,41,0,1824,0,25,2012
2012-26,36,0,1568,0,26,2012
2012-27,5,0,107,0,27,2012
2012-28,76,2,3451,0.5795421616922631,28,2012
2012-29,91,20,3897,5.132152938157557,29,2012
2012-30,34,7,1372,5.1020408163265305,30,2012
2012-31,30,6,1100,5.454545454545455,31,2012
