collection date,town,trap type,mcd,ABS,CAN,GRO,MEL,PUN,EXC,QUA,AUR,STI,TRI,VEX,RES,JAP,PRE,CIN,PIP,NCR,PER,SAL,FER,TVT,TER,FIT,ALB,CTT,SAP,SOL,MOR,ATR,TAE,CUL,WAL,ERR,CRU,MIN,HEN,RUT,IMP,INO,PRO,PCT,INT,THI,SMI,STM,COM,BAR,COL,SIG,NA,ATL,week_num
2013-05-21,Easton,500cc CO2 - CDC Miniature Light Trap,Bristol,59,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-21
2013-05-21,Raynham,500cc CO2 - CDC Miniature Light Trap,Bristol,54,21,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-21
2013-05-21,Taunton,500cc CO2 - CDC Miniature Light Trap,Bristol,41,59,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-21
2013-05-22,Acushnet,500cc CO2 - CDC Miniature Light Trap,Bristol,5,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-21
2013-05-22,Berkley,500cc CO2 - CDC Miniature Light Trap,Bristol,0,4,0,1,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-21
2013-05-22,Freetown,500cc CO2 - CDC Miniature Light Trap,Bristol,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-21
2013-05-24,Attleboro,500cc CO2 - CDC Miniature Light Trap,Bristol,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-21
2013-05-30,Freetown,Resting Box,Bristol,1,0,0,77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-22
2013-05-31,Acushnet,500cc CO2 - CDC Miniature Light Trap,Bristol,4,15,0,14,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-22
2013-05-31,Berkley,500cc CO2 - CDC Miniature Light Trap,Bristol,6,61,2,4,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-22
2013-05-31,Dighton,500cc CO2 - CDC Miniature Light Trap,Bristol,0,16,0,475,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-22
2013-05-31,Fairhaven,500cc CO2 - CDC Miniature Light Trap,Bristol,10,9,0,5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-22
2013-05-31,Freetown,500cc CO2 - CDC Miniature Light Trap,Bristol,6,14,0,30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-22
2013-05-31,Norton,500cc CO2 - CDC Miniature Light Trap,Bristol,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-22
2013-05-31,Seekonk,500cc CO2 - CDC Miniature Light Trap,Bristol,5,53,5,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-22
2013-06-03,Freetown,Resting Box,Bristol,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-23
2013-06-04,Freetown,Resting Box,Bristol,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-23
2013-06-05,Acushnet,500cc CO2 - CDC Miniature Light Trap,Bristol,1,2,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-23
2013-06-05,Berkley,500cc CO2 - CDC Miniature Light Trap,Bristol,2,19,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-23
