MCD,Year,Week,Town,Result,Test_Type_Expanded,Pools_Tested,Total_Tested,Positive_Pools,MIR
Bristol,2007,23,Attleboro,Negative,NA,4,127,0,0
Bristol,2007,23,Fairhaven,Negative,NA,1,6,0,0
Bristol,2007,23,Fall River,Negative,NA,2,14,0,0
Bristol,2007,23,Freetown,Negative,NA,33,1486,0,0
Bristol,2007,23,New Bedford,Negative,NA,1,4,0,0
Bristol,2007,23,Norton,Negative,NA,1,27,0,0
Bristol,2007,23,Swansea,Negative,NA,2,21,0,0
Bristol,2007,24,Freetown,Negative,NA,1,15,0,0
Bristol,2007,24,Swansea,Negative,NA,1,9,0,0
Bristol,2007,24,Westport,Negative,NA,3,11,0,0
Bristol,2007,25,Acushnet,Negative,NA,2,35,0,0
Bristol,2007,25,Dartmouth,Negative,NA,2,22,0,0
Bristol,2007,25,Fall River,Negative,NA,7,95,0,0
Bristol,2007,25,Freetown,Negative,NA,9,337,0,0
Bristol,2007,25,Seekonk,Negative,NA,3,38,0,0
Bristol,2007,25,Swansea,Negative,NA,3,29,0,0
Bristol,2007,25,Westport,Negative,NA,2,18,0,0
Bristol,2007,26,Acushnet,Negative,NA,3,85,0,0
Bristol,2007,26,Fairhaven,Negative,NA,3,39,0,0
Bristol,2007,26,Fall River,Negative,NA,6,192,0,0
Bristol,2007,26,Freetown,Negative,NA,3,60,0,0
Bristol,2007,26,Seekonk,Negative,NA,1,41,0,0
Bristol,2007,26,Swansea,Negative,NA,3,91,0,0
Bristol,2007,26,Westport,Negative,NA,2,30,0,0
Bristol,2007,27,Acushnet,Negative,NA,3,114,0,0
Bristol,2007,27,Dartmouth,Negative,NA,2,38,0,0
Bristol,2007,27,Fall River,Negative,NA,10,327,0,0
Bristol,2007,27,Freetown,Negative,NA,12,363,0,0
Bristol,2007,27,Seekonk,Negative,NA,2,78,0,0
Bristol,2007,27,Swansea,Negative,NA,6,266,0,0
Bristol,2007,27,Taunton,Negative,NA,2,8,0,0
Bristol,2007,27,Westport,Negative,NA,2,67,0,0
Bristol,2007,28,Acushnet,Negative,NA,7,344,0,0
Bristol,2007,28,Berkley,Negative,NA,5,154,0,0
Bristol,2007,28,Dartmouth,Negative,NA,3,70,0,0
Bristol,2007,28,Fairhaven,Negative,NA,1,24,0,0
Bristol,2007,28,Fall River,Negative,NA,4,69,0,0
Bristol,2007,28,Freetown,Negative,NA,9,172,0,0
Bristol,2007,28,Seekonk,Negative,NA,1,11,0,0
Bristol,2007,28,Swansea,Negative,NA,2,63,0,0
Bristol,2007,28,Westport,Negative,NA,2,39,0,0
Bristol,2007,29,Acushnet,Negative,NA,4,133,0,0
Bristol,2007,29,Berkley,Negative,NA,4,115,0,0
Bristol,2007,29,Dartmouth,Negative,NA,2,25,0,0
Bristol,2007,29,Fairhaven,Negative,NA,1,25,0,0
Bristol,2007,29,Fall River,Negative,NA,9,346,0,0
Bristol,2007,29,Freetown,Negative,NA,13,481,0,0
Bristol,2007,29,Seekonk,Negative,NA,1,34,0,0
Bristol,2007,29,Swansea,Negative,NA,1,48,0,0
Bristol,2007,29,Westport,Negative,NA,2,54,0,0
Bristol,2007,30,Acushnet,Negative,NA,4,181,0,0
Bristol,2007,30,Berkley,Negative,NA,3,111,0,0
Bristol,2007,30,Berkley,Positive,WNV,1,34,1,29.41176470588235
Bristol,2007,30,Dartmouth,Negative,NA,2,58,0,0
Bristol,2007,30,Fairhaven,Negative,NA,2,58,0,0
Bristol,2007,30,Fall River,Negative,NA,6,194,0,0
Bristol,2007,30,Freetown,Negative,NA,7,179,0,0
Bristol,2007,30,Seekonk,Negative,NA,4,191,0,0
Bristol,2007,30,Swansea,Negative,NA,3,101,0,0
Bristol,2007,30,Westport,Negative,NA,2,35,0,0
Bristol,2007,31,Acushnet,Negative,NA,4,193,0,0
Bristol,2007,31,Berkley,Negative,NA,12,149,0,0
Bristol,2007,31,Dartmouth,Negative,NA,2,57,0,0
Bristol,2007,31,Fairhaven,Negative,NA,2,69,0,0
Bristol,2007,31,Fall River,Negative,NA,4,85,0,0
Bristol,2007,31,Freetown,Negative,NA,11,245,0,0
Bristol,2007,31,New Bedford,Negative,NA,7,333,0,0
Bristol,2007,31,Norton,Negative,NA,1,39,0,0
Bristol,2007,31,Seekonk,Positive,EEE,1,16,1,62.5
Bristol,2007,31,Swansea,Negative,NA,2,47,0,0
Bristol,2007,31,Taunton,Negative,NA,2,22,0,0
Bristol,2007,31,Westport,Negative,NA,2,31,0,0
Bristol,2007,32,Acushnet,Negative,NA,2,60,0,0
Bristol,2007,32,Berkley,Negative,NA,5,97,0,0
Bristol,2007,32,Dartmouth,Negative,NA,2,20,0,0
Bristol,2007,32,Easton,Negative,NA,2,19,0,0
Bristol,2007,32,Fairhaven,Negative,NA,4,161,0,0
Bristol,2007,32,Fall River,Negative,NA,4,122,0,0
Bristol,2007,32,Freetown,Negative,NA,6,108,0,0
Bristol,2007,32,New Bedford,Negative,NA,4,128,0,0
Bristol,2007,32,Seekonk,Negative,NA,10,81,0,0
Bristol,2007,32,Swansea,Negative,NA,3,76,0,0
Bristol,2007,32,Westport,Negative,NA,1,23,0,0
Bristol,2007,33,Acushnet,Negative,NA,4,125,0,0
Bristol,2007,33,Berkley,Negative,NA,8,152,0,0
Bristol,2007,33,Dartmouth,Negative,NA,3,84,0,0
Bristol,2007,33,Fairhaven,Negative,NA,3,87,0,0
