Trap Site Address,MCD,Location,DecLat,DecLong
"Crown Street, BR",Bristol,Attleboro: Attleboro 02703(Bristol),41.896164,-71.38026
"Rutledge st., BR",Bristol,Attleboro: Attleboro 02703(Bristol),41.898502,-71.37483
"Adamsdale Road & Siesta Drive, BR",Bristol,North Attleborough: North Attleborough unknown(Bristol),41.924639,-71.371889
Lee's Playground,Bristol,Attleboro: Attleboro 02703(Bristol),41.906213,-71.367965
"Newport Avenue #960, BR",Bristol,Attleboro: Attleboro 02703(Bristol),41.908257,-71.356648
"66 Hillside Road, BR",Bristol,North Attleborough: North Attleborough 02760(Bristol),41.974309,-71.340733
"Ray Hodde st., BR",Bristol,Seekonk: Seekonk 02771(Bristol),41.817419,-71.339095
"County Street #290, BR",Bristol,Seekonk: Seekonk 02771(Bristol),41.812811,-71.327223
"JL Dietsch Blvd, BR",Bristol,North Attleborough: North Attleborough 02760(Bristol),41.972889,-71.300356
"Barneyville Road, BR",Bristol,Swansea: Swansea 02777(Bristol),41.769075,-71.292019
"Holden Street, BR",Bristol,Attleboro: Attleboro 02703(Bristol),41.953882,-71.280408
Old Prov. Rd Pump Station,Bristol,Swansea: Swansea 02777(Bristol),41.771917,-71.274642
"Forest Street #38R, BR",Bristol,Attleboro: Attleboro 02703(Bristol),41.946186,-71.273513
"La Sallette - Route 118, BR",Bristol,Attleboro: Attleboro 02703(Bristol),41.931798,-71.265267
"Fairfield Street, BR",Bristol,Rehoboth: Rehoboth 02769(Bristol),41.894792,-71.264828
"Baptist Street, BR",Bristol,Swansea: Swansea 02777(Bristol),41.765119,-71.261008
Tri-County Beagle Club,Bristol,Mansfield: Mansfield 02048(Bristol),42.010735,-71.234171
"Locust Street, BR",Bristol,Swansea: Swansea 02777(Bristol),41.775889,-71.218895
"Hope Street - Mansfield, BR",Bristol,Mansfield: Mansfield 02048(Bristol),42.032111,-71.210158
"Pond Street, BR",Bristol,Swansea: Swansea 02777(Bristol),41.72462,-71.207083
"Bicentennial Court, BR",Bristol,Mansfield: Mansfield 02048(Bristol),42.036905,-71.204136
"industrial park, BR",Bristol,Swansea: Swansea 02777(Bristol),41.748659,-71.198499
"Milford Road, BR",Bristol,Swansea: Swansea 02777(Bristol),41.7501,-71.197764
Swansea Combo-site,Bristol,Swansea: Swansea 02777(Bristol),41.748162,-71.189562
"Potter Street, BR",Bristol,Fall River: Fall River 02720(Bristol),41.687035,-71.183906
