"week_num","Hrs_Above_80_lag","Hrs_Above_75_lag","Hrs_Below_50_lag","Hrs_Between_50_86_lag","Avg_HourlyDryBulbTemp_lag","Avg_HourlyWetBulbTemp_lag","Year","Week","Lead_week_num"
"2006-01",0,0,283,0,32.1413427561837,30.886925795053,2006,1,"2006-02"
"2006-02",0,0,161,130,43.6048109965636,41.7319587628866,2006,2,"2006-03"
"2006-03",0,0,149,37,38.6397849462366,34.2204301075269,2006,3,"2006-04"
"2006-04",0,0,249,14,34.9657794676806,32.1603053435115,2006,4,"2006-05"
"2006-05",0,0,273,56,41.5015197568389,40.1768292682927,2006,5,"2006-06"
"2006-06",0,0,216,0,27.3564814814815,23.5,2006,6,"2006-07"
"2006-07",0,0,169,28,32.7969543147208,28.6974358974359,2006,7,"2006-08"
"2006-08",0,0,204,0,27.5490196078431,23.9558823529412,2006,8,"2006-09"
"2006-09",0,0,199,0,25.894472361809,21.572864321608,2006,9,"2006-10"
"2006-10",0,0,148,38,39.8333333333333,36.0161290322581,2006,10,"2006-11"
"2006-11",0,0,164,42,39.8398058252427,35.1165048543689,2006,11,"2006-12"
"2006-12",0,0,187,9,36.6377551020408,31.7857142857143,2006,12,"2006-13"
"2006-13",0,0,105,93,44.8181818181818,38.0959595959596,2006,13,"2006-14"
"2006-14",0,0,180,50,41.6,38.2260869565217,2006,14,"2006-15"
"2006-15",0,0,96,138,49.3076923076923,44.3333333333333,2006,15,"2006-16"
"2006-16",0,0,113,76,48.984126984127,42.6243386243386,2006,16,"2006-17"
"2006-17",0,0,111,70,47.9337016574586,41.608938547486,2006,17,"2006-18"
"2006-18",4,10,123,102,52.8,48.0844444444444,2006,18,"2006-19"
"2006-19",0,0,123,195,50.9433962264151,49.1666666666667,2006,19,"2006-20"
"2006-20",0,0,14,245,56.3166023166023,53.0428015564202,2006,20,"2006-21"
"2006-21",9,23,63,193,58.6953125,54.0625,2006,21,"2006-22"
"2006-22",12,28,0,284,61.9508771929825,59.3263157894737,2006,22,"2006-23"
"2006-23",0,0,0,334,58.5119760479042,56.2492492492492,2006,23,"2006-24"
"2006-24",22,53,0,221,65.8648648648649,60.4660633484163,2006,24,"2006-25"
"2006-25",23,52,0,318,69.0869565217391,65.9968944099379,2006,25,"2006-26"
"2006-26",24,77,0,248,72.2782258064516,68.1451612903226,2006,26,"2006-27"
"2006-27",38,71,0,219,70.8461538461538,65.8371040723982,2006,27,"2006-28"
"2006-28",42,83,0,264,72.4080882352941,68.7022058823529,2006,28,"2006-29"
"2006-29",44,142,0,285,74.3993399339934,70.5412541254125,2006,29,"2006-30"
"2006-30",65,112,0,168,76.5901639344262,70.1639344262295,2006,30,"2006-31"
"2006-31",68,108,0,232,73.0415094339623,67.6969696969697,2006,31,"2006-32"
"2006-32",31,73,24,196,66.9090909090909,60.351598173516,2006,32,"2006-33"
"2006-33",30,67,16,290,66.0359477124183,62.5049180327869,2006,33,"2006-34"
"2006-34",11,22,5,270,62.5418181818182,59.2145454545455,2006,34,"2006-35"
"2006-35",0,5,4,309,62.8945686900958,60.3863636363636,2006,35,"2006-36"
"2006-36",5,22,10,284,61.1258503401361,57.9305555555556,2006,36,"2006-37"
"2006-37",3,13,70,192,57.030534351145,53.9230769230769,2006,37,"2006-38"
"2006-38",2,23,41,231,61.9080882352941,58.2222222222222,2006,38,"2006-39"
"2006-39",0,0,156,189,52.4405797101449,49.8495575221239,2006,39,"2006-40"
"2006-40",0,2,158,149,50.4527687296417,47.599348534202,2006,40,"2006-41"
"2006-41",0,3,140,140,50.3571428571429,46.9820788530466,2006,41,"2006-42"
"2006-42",0,0,118,171,50.5501730103806,47.5363321799308,2006,42,"2006-43"
"2006-43",0,0,119,98,48.5207373271889,44,2006,43,"2006-44"
"2006-44",0,0,181,77,44.1782945736434,40.8988326848249,2006,44,"2006-45"
"2006-45",0,0,78,237,51.6634920634921,49.5555555555556,2006,45,"2006-46"
"2006-46",0,0,59,241,55.9233333333333,53.5,2006,46,"2006-47"
"2006-47",0,0,246,18,41.3712121212121,38.9204545454545,2006,47,"2006-48"
"2006-48",0,0,151,115,47.9473684210526,45.777358490566,2006,48,"2006-49"
"2006-49",0,0,173,19,34.1822916666667,29.4607329842932,2006,49,"2006-50"
"2006-50",0,0,160,70,44.0347826086957,41.2838427947598,2006,50,"2006-51"
"2006-51",0,0,145,50,42.7589743589744,38.5670103092784,2006,51,"2006-52"
"2006-52",0,0,253,6,35.7799227799228,33.0466926070039,2006,52,"2007-01"
"2007-01",0,0,159,132,48.1305841924399,44.8969072164948,2007,1,"2007-02"
"2007-02",0,0,205,47,41.2142857142857,38.1071428571429,2007,2,"2007-03"
"2007-03",0,0,267,0,33.063670411985,30.4794007490637,2007,3,"2007-04"
"2007-04",0,0,203,0,23.5960591133005,20.3251231527094,2007,4,"2007-05"
"2007-05",0,0,217,0,27.7603686635945,24.2222222222222,2007,5,"2007-06"
"2007-06",0,0,168,0,20.4285714285714,15.9404761904762,2007,6,"2007-07"
"2007-07",0,0,226,0,27.4601769911504,23.25,2007,7,"2007-08"
"2007-08",0,0,213,3,31.4398148148148,27.4305555555556,2007,8,"2007-09"
"2007-09",0,0,263,27,36.5689655172414,33.7413793103448,2007,9,"2007-10"
"2007-10",0,0,167,17,27.6521739130435,23.2065217391304,2007,10,"2007-11"
"2007-11",0,0,217,44,38.7624521072797,35.3524904214559,2007,11,"2007-12"
"2007-12",0,0,190,45,39.6723404255319,35.3914893617021,2007,12,"2007-13"
"2007-13",0,0,170,53,43.7354260089686,37.2780269058296,2007,13,"2007-14"
"2007-14",0,0,240,0,38.625,35.15,2007,14,"2007-15"
"2007-15",0,0,214,19,41.480686695279,37.2403433476395,2007,15,"2007-16"
"2007-16",0,3,231,82,45.297124600639,41.0511182108626,2007,16,"2007-17"
"2007-17",2,11,135,148,51.8621908127208,47.547703180212,2007,17,"2007-18"
"2007-18",0,0,73,120,54.0103626943005,44.3471502590674,2007,18,"2007-19"
"2007-19",8,17,43,200,58.6584362139918,52.5473251028807,2007,19,"2007-20"
"2007-20",2,6,124,192,52.5696202531646,48.503164556962,2007,20,"2007-21"
"2007-21",30,42,61,155,60.8590308370044,53.1145374449339,2007,21,"2007-22"
"2007-22",24,47,14,237,65.2470588235294,59.2,2007,22,"2007-23"
