"STATION","NAME","DATE","PRCP","TMAX","week_num"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-01,1.17,57,"2007-01"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-02,0.01,48,"2007-01"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-03,0,50,"2007-01"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-04,0,54,"2007-01"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-05,0.04,60,"2007-01"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-06,0.05,63,"2007-01"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-07,0,54,"2007-01"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-08,0.83,58,"2007-02"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-09,0,45,"2007-02"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-10,0,37,"2007-02"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-11,0,38,"2007-02"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-12,0,51,"2007-02"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-13,0.06,51,"2007-02"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-14,0.14,41,"2007-02"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-15,0.32,44,"2007-03"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-16,0.01,44,"2007-03"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-17,0,23,"2007-03"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-18,0.15,47,"2007-03"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-19,0.1,47,"2007-03"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-20,0,34,"2007-03"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-21,0,27,"2007-03"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-22,0.01,28,"2007-04"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-23,0.01,35,"2007-04"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-24,0,42,"2007-04"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-25,0,31,"2007-04"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-26,0,16,"2007-04"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-27,0,27,"2007-04"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-28,0.02,41,"2007-04"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-29,0,29,"2007-05"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-30,0,33,"2007-05"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-31,0,35,"2007-05"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-01,0,39,"2007-05"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-02,0.18,39,"2007-05"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-03,0.05,35,"2007-05"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-04,0,26,"2007-05"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-05,0,20,"2007-06"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-06,0,27,"2007-06"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-07,0,25,"2007-06"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-08,0,29,"2007-06"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-09,0,30,"2007-06"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-10,0,34,"2007-06"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-11,0,33,"2007-06"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-12,0,39,"2007-07"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-13,0,28,"2007-07"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-15,1.74,25,"2007-07"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-16,0,30,"2007-07"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-17,0,36,"2007-07"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-18,0,37,"2007-07"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-19,0,25,"2007-08"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-20,0,51,"2007-08"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-21,0.05,49,"2007-08"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-22,0.02,42,"2007-08"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-23,0.01,36,"2007-08"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-24,0,37,"2007-08"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-25,0,46,"2007-08"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-26,0.22,38,"2007-09"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-27,0,40,"2007-09"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-02-28,0,47,"2007-09"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-01,0,44,"2007-09"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-02,2.22,54,"2007-09"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-03,0,58,"2007-09"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-04,0,43,"2007-09"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US",2007-03-05,0,40,"2007-10"
