"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MLY-CLDD-BASE45","MLY-CLDD-BASE50","MLY-CLDD-BASE55","MLY-CLDD-BASE57","MLY-CLDD-BASE60","MLY-CLDD-BASE70","MLY-CLDD-BASE72","MLY-CLDD-NORMAL","MLY-DUTR-NORMAL","MLY-DUTR-STDDEV","MLY-GRDD-BASE40","MLY-GRDD-BASE45","MLY-GRDD-BASE50","MLY-GRDD-BASE55","MLY-GRDD-BASE57","MLY-GRDD-BASE60","MLY-GRDD-BASE65","MLY-GRDD-BASE70","MLY-GRDD-BASE72","MLY-GRDD-TB4886","MLY-GRDD-TB5086","MLY-HTDD-BASE40","MLY-HTDD-BASE45","MLY-HTDD-BASE50","MLY-HTDD-BASE55","MLY-HTDD-BASE57","MLY-HTDD-BASE60","MLY-HTDD-NORMAL","MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-NORMAL","MLY-TAVG-NORMAL","MLY-TAVG-STDDEV","MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","MLY-TMAX-NORMAL","MLY-TMAX-STDDEV","MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","MLY-TMIN-NORMAL","MLY-TMIN-PRBOCC-LSTH016","MLY-TMIN-PRBOCC-LSTH020","MLY-TMIN-PRBOCC-LSTH024","MLY-TMIN-PRBOCC-LSTH028","MLY-TMIN-PRBOCC-LSTH032","MLY-TMIN-PRBOCC-LSTH036","MLY-TMIN-STDDEV"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","01","3","-7777","0","0","0","0","0","0","17.7","2.0","15","3","-7777","0","0","0","0","0","0","12","8","366","510","662","817","879","972","1127",,,,,,,,"3.93","28.7","4.6","123","3.8","1","0","0","0.0","0.0","9.8","37.5","4.5","1.1","52","150","27.8","306","310","310","310","19.8","989","1000","1000","1000","1000","1000","4.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","02","3","-7777","0","0","0","0","0","0","18.1","2.0","14","3","-7777","0","0","0","0","0","0","12","8","262","391","528","668","724","808","948",,,,,,,,"3.67","31.2","3.1","139","3.8","1","0","0","0.0","0.0","4.4","40.2","3.5","0.1","22","111","25.2","273","280","280","280","22.1","987","1000","1000","1000","1000","1000","3.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","03","20","5","1","-7777","-7777","0","0","0","18.6","1.8","60","20","5","1","-7777","-7777","0","0","0","46","34","137","253","392","543","605","697","852",,,,,,,,"4.88","37.5","2.5","240","10.5","20","4","0","0.0","0.0","1.4","46.8","2.8","0.0","6","44","21.2","290","309","310","310","28.2","777","958","998","1000","1000","1000","2.5"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","04","112","47","17","10","5","1","-7777","2","19.6","2.2","219","112","47","17","10","5","2","1","-7777","144","117","15","56","141","262","315","400","546",,,,,,,,"4.50","46.8","1.7","293","23.6","94","22","3","0.1","0.0","0.0","56.7","2.4","0.0","0","0","6.8","211","290","300","300","37.0","0","65","368","853","997","1000","1.6"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","05","346","209","102","72","40","2","1","10","20.6","1.8","499","346","209","102","72","40","10","2","1","310","269","-7777","2","19","68","100","160","286",,,,,,,,"3.69","56.1","2.1","310","30.1","234","104","23","0.2","0.0","0.0","66.4","2.8","0.0","0","0","1.1","61","226","306","310","45.8","0","0","0","56","387","825","1.7"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","06","625","475","328","272","194","29","15","91","20.7","2.6","775","625","475","328","272","194","91","29","15","538","483","0","-7777","-7777","3","6","19","66",,,,,,,,"3.95","65.9","1.9","300","30.0","294","239","99","0.5","0.0","0.0","76.2","2.4","0.0","0","0","0.0","3","54","219","299","55.5","0","0","0","0","0","34","2.2"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","07","807","652","497","435","343","81","50","196","19.9","1.8","962","807","652","497","435","343","196","81","50","705","644","0","0","0","0","0","-7777","8",,,,,,,,"3.32","71.0","2.0","310","31.0","310","302","179","2.1","0.0","0.0","81.0","2.3","0.0","0","0","0.0","0","14","130","289","61.1","0","0","0","0","0","0","2.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","08","773","618","463","401","309","69","43","168","20.5","2.6","928","773","618","463","401","309","168","69","43","674","614","0","0","0","-7777","-7777","1","15",,,,,,,,"4.07","70.0","2.2","310","31.0","310","300","157","1.4","0.0","0.0","80.2","1.9","0.0","0","0","0.0","0","25","156","289","59.7","0","0","0","0","0","1","3.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","09","512","365","230","182","118","11","5","44","21.0","2.2","661","512","365","230","182","118","44","11","5","449","401","-7777","-7777","3","18","31","57","133",,,,,,,,"3.60","62.1","1.7","300","30.0","293","196","30","0.1","0.0","0.0","72.5","1.9","0.0","0","0","0.1","29","129","250","296","51.6","0","0","0","0","76","370","2.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","10","219","113","45","30","16","1","-7777","5","21.0","1.7","356","219","113","45","30","16","5","1","-7777","235","199","3","21","69","157","203","283","427",,,,,,,,"4.13","51.4","1.9","310","29.4","185","42","3","0.0","0.0","0.0","61.9","2.1","0.0","0","0","5.2","153","264","301","309","40.9","0","2","219","660","931","994","2.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","11","76","30","9","4","2","0","0","-7777","19.0","2.2","154","76","30","9","4","2","-7777","0","0","99","77","60","130","234","363","418","506","654",,,,,,,,"4.65","43.2","2.3","279","18.2","58","2","0","0.0","0.0","0.3","52.7","2.5","0.0","0","19","14.4","226","282","299","300","33.7","223","570","877","991","1000","1000","2.6"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","12","15","4","1","-7777","-7777","0","0","0","17.6","1.5","39","15","4","1","-7777","-7777","0","0","0","25","17","232","362","506","658","719","812","967",,,,,,,,"3.97","33.8","3.7","184","6.7","10","1","0","0.0","0.0","3.5","42.6","3.9","0.0","16","91","24.9","290","308","310","310","25.0","953","999","1000","1000","1000","1000","3.6"
"USW00054777","TAUNTON MUNICIPAL AIRPORT, MA US","41.87556","-71.02111","13.1","01","5","1","0","0","0","0","0","0","19.1","2.7","16","5","1","0","0","0","0","0","0","14","10","392","536","687","841","903","996","1151",,,,,,,,"3.98","27.8","4.8","117","3.8","6","0","0","0.0","0.0","9.7","37.4","4.3","1.8","73","167","28.2","304","310","310","310","18.3","995","1000","1000","1000","1000","1000","5.5"
