MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20231107,MA,100,0,0,0,0,0,11/7/23,11/13/23,1
20231031,MA,100,0,0,0,0,0,10/31/23,11/6/23,1
20231024,MA,100,0,0,0,0,0,10/24/23,10/30/23,1
20231017,MA,100,0,0,0,0,0,10/17/23,10/23/23,1
20231010,MA,100,0,0,0,0,0,10/10/23,10/16/23,1
20231003,MA,100,0,0,0,0,0,10/3/23,10/9/23,1
20230926,MA,100,0,0,0,0,0,9/26/23,10/2/23,1
20230919,MA,100,0,0,0,0,0,9/19/23,9/25/23,1
20230912,MA,100,0,0,0,0,0,9/12/23,9/18/23,1
20230905,MA,100,0,0,0,0,0,9/5/23,9/11/23,1
20230829,MA,100,0,0,0,0,0,8/29/23,9/4/23,1
20230822,MA,100,0,0,0,0,0,8/22/23,8/28/23,1
20230815,MA,100,0,0,0,0,0,8/15/23,8/21/23,1
20230801,MA,100,0,0,0,0,0,8/1/23,8/7/23,1
20230725,MA,100,0,0,0,0,0,7/25/23,7/31/23,1
20230718,MA,100,0,0,0,0,0,7/18/23,7/24/23,1
20230711,MA,100,0,0,0,0,0,7/11/23,7/17/23,1
20230411,MA,100,0,0,0,0,0,4/11/23,4/17/23,1
20230404,MA,100,0,0,0,0,0,4/4/23,4/10/23,1
20230328,MA,100,0,0,0,0,0,3/28/23,4/3/23,1
20230321,MA,100,0,0,0,0,0,3/21/23,3/27/23,1
20230314,MA,100,0,0,0,0,0,3/14/23,3/20/23,1
20230307,MA,100,0,0,0,0,0,3/7/23,3/13/23,1
20230228,MA,100,0,0,0,0,0,2/28/23,3/6/23,1
20230221,MA,100,0,0,0,0,0,2/21/23,2/27/23,1
20230214,MA,100,0,0,0,0,0,2/14/23,2/20/23,1
20230207,MA,100,0,0,0,0,0,2/7/23,2/13/23,1
20230131,MA,100,0,0,0,0,0,1/31/23,2/6/23,1
20230124,MA,100,0,0,0,0,0,1/24/23,1/30/23,1
20220503,MA,100,0,0,0,0,0,5/3/22,5/9/22,1
20220426,MA,100,0,0,0,0,0,4/26/22,5/2/22,1
20220419,MA,100,0,0,0,0,0,4/19/22,4/25/22,1
20220412,MA,100,0,0,0,0,0,4/12/22,4/18/22,1
20220405,MA,100,0,0,0,0,0,4/5/22,4/11/22,1
20220329,MA,100,0,0,0,0,0,3/29/22,4/4/22,1
20220322,MA,100,0,0,0,0,0,3/22/22,3/28/22,1
20220315,MA,100,0,0,0,0,0,3/15/22,3/21/22,1
20220308,MA,100,0,0,0,0,0,3/8/22,3/14/22,1
20220301,MA,100,0,0,0,0,0,3/1/22,3/7/22,1
20220222,MA,100,0,0,0,0,0,2/22/22,2/28/22,1
20220215,MA,100,0,0,0,0,0,2/15/22,2/21/22,1
20220208,MA,100,0,0,0,0,0,2/8/22,2/14/22,1
20220201,MA,100,0,0,0,0,0,2/1/22,2/7/22,1
20220125,MA,100,0,0,0,0,0,1/25/22,1/31/22,1
20220118,MA,100,0,0,0,0,0,1/18/22,1/24/22,1
20220111,MA,100,0,0,0,0,0,1/11/22,1/17/22,1
20220104,MA,100,0,0,0,0,0,1/4/22,1/10/22,1
20211228,MA,100,0,0,0,0,0,12/28/21,1/3/22,1
20211221,MA,100,0,0,0,0,0,12/21/21,12/27/21,1
20211214,MA,100,0,0,0,0,0,12/14/21,12/20/21,1
20211207,MA,100,0,0,0,0,0,12/7/21,12/13/21,1
20211130,MA,100,0,0,0,0,0,11/30/21,12/6/21,1
20211123,MA,100,0,0,0,0,0,11/23/21,11/29/21,1
20211116,MA,100,0,0,0,0,0,11/16/21,11/22/21,1
20211109,MA,100,0,0,0,0,0,11/9/21,11/15/21,1
20211102,MA,100,0,0,0,0,0,11/2/21,11/8/21,1
20211026,MA,100,0,0,0,0,0,10/26/21,11/1/21,1
20211019,MA,100,0,0,0,0,0,10/19/21,10/25/21,1
20211012,MA,100,0,0,0,0,0,10/12/21,10/18/21,1
20211005,MA,100,0,0,0,0,0,10/5/21,10/11/21,1
20210302,MA,100,0,0,0,0,0,3/2/21,3/8/21,1
20210223,MA,100,0,0,0,0,0,2/23/21,3/1/21,1
20210216,MA,100,0,0,0,0,0,2/16/21,2/22/21,1
20210209,MA,100,0,0,0,0,0,2/9/21,2/15/21,1
20210202,MA,100,0,0,0,0,0,2/2/21,2/8/21,1
20210126,MA,100,0,0,0,0,0,1/26/21,2/1/21,1
20210119,MA,100,0,0,0,0,0,1/19/21,1/25/21,1
20210112,MA,100,0,0,0,0,0,1/12/21,1/18/21,1
20210105,MA,100,0,0,0,0,0,1/5/21,1/11/21,1
20200526,MA,100,0,0,0,0,0,5/26/20,6/1/20,1
20200519,MA,100,0,0,0,0,0,5/19/20,5/25/20,1
20200512,MA,100,0,0,0,0,0,5/12/20,5/18/20,1
20200505,MA,100,0,0,0,0,0,5/5/20,5/11/20,1
20200428,MA,100,0,0,0,0,0,4/28/20,5/4/20,1
20200421,MA,100,0,0,0,0,0,4/21/20,4/27/20,1
20200414,MA,100,0,0,0,0,0,4/14/20,4/20/20,1
20200407,MA,100,0,0,0,0,0,4/7/20,4/13/20,1
20200331,MA,100,0,0,0,0,0,3/31/20,4/6/20,1
20200310,MA,100,0,0,0,0,0,3/10/20,3/16/20,1
20200303,MA,100,0,0,0,0,0,3/3/20,3/9/20,1
20200225,MA,100,0,0,0,0,0,2/25/20,3/2/20,1
20200218,MA,100,0,0,0,0,0,2/18/20,2/24/20,1
20200211,MA,100,0,0,0,0,0,2/11/20,2/17/20,1
20200204,MA,100,0,0,0,0,0,2/4/20,2/10/20,1
20200128,MA,100,0,0,0,0,0,1/28/20,2/3/20,1
20200121,MA,100,0,0,0,0,0,1/21/20,1/27/20,1
20200114,MA,100,0,0,0,0,0,1/14/20,1/20/20,1
20200107,MA,100,0,0,0,0,0,1/7/20,1/13/20,1
