MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,dsdi,ValidStart,ValidEnd,StatisticFormatID
20231226,25005,Bristol County,MA,100,0,0,0,0,0,0,12/26/23,1/1/24,1
20231219,25005,Bristol County,MA,100,0,0,0,0,0,0,12/19/23,12/25/23,1
20231212,25005,Bristol County,MA,100,0,0,0,0,0,0,12/12/23,12/18/23,1
20231205,25005,Bristol County,MA,100,0,0,0,0,0,0,12/5/23,12/11/23,1
20231128,25005,Bristol County,MA,100,0,0,0,0,0,0,11/28/23,12/4/23,1
20231121,25005,Bristol County,MA,100,0,0,0,0,0,0,11/21/23,11/27/23,1
20231114,25005,Bristol County,MA,100,0,0,0,0,0,0,11/14/23,11/20/23,1
20231107,25005,Bristol County,MA,100,0,0,0,0,0,0,11/7/23,11/13/23,1
20231031,25005,Bristol County,MA,100,0,0,0,0,0,0,10/31/23,11/6/23,1
20231024,25005,Bristol County,MA,100,0,0,0,0,0,0,10/24/23,10/30/23,1
20231017,25005,Bristol County,MA,100,0,0,0,0,0,0,10/17/23,10/23/23,1
20231010,25005,Bristol County,MA,100,0,0,0,0,0,0,10/10/23,10/16/23,1
20231003,25005,Bristol County,MA,100,0,0,0,0,0,0,10/3/23,10/9/23,1
20230926,25005,Bristol County,MA,100,0,0,0,0,0,0,9/26/23,10/2/23,1
20230919,25005,Bristol County,MA,100,0,0,0,0,0,0,9/19/23,9/25/23,1
20230912,25005,Bristol County,MA,100,0,0,0,0,0,0,9/12/23,9/18/23,1
20230905,25005,Bristol County,MA,100,0,0,0,0,0,0,9/5/23,9/11/23,1
20230829,25005,Bristol County,MA,100,0,0,0,0,0,0,8/29/23,9/4/23,1
20230822,25005,Bristol County,MA,100,0,0,0,0,0,0,8/22/23,8/28/23,1
20230815,25005,Bristol County,MA,100,0,0,0,0,0,0,8/15/23,8/21/23,1
20230808,25005,Bristol County,MA,100,0,0,0,0,0,0,8/8/23,8/14/23,1
20230801,25005,Bristol County,MA,100,0,0,0,0,0,0,8/1/23,8/7/23,1
20230725,25005,Bristol County,MA,100,0,0,0,0,0,0,7/25/23,7/31/23,1
20230718,25005,Bristol County,MA,100,0,0,0,0,0,0,7/18/23,7/24/23,1
20230711,25005,Bristol County,MA,100,0,0,0,0,0,0,7/11/23,7/17/23,1
20230704,25005,Bristol County,MA,100,0,0,0,0,0,0,7/4/23,7/10/23,1
20230627,25005,Bristol County,MA,100,0,0,0,0,0,0,6/27/23,7/3/23,1
20230620,25005,Bristol County,MA,100,0,0,0,0,0,0,6/20/23,6/26/23,1
