MapDate,RegionName,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20231031,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-31,2023-11-06,1
20231031,II,77.45,22.55,2.59,0.64,0.00,0.00,2023-10-31,2023-11-06,1
20231031,III,51.80,48.20,16.98,4.48,0.00,0.00,2023-10-31,2023-11-06,1
20231031,IV,26.03,73.97,55.96,33.68,20.13,4.32,2023-10-31,2023-11-06,1
20231024,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-24,2023-10-30,1
20231024,II,79.70,20.30,3.16,0.64,0.00,0.00,2023-10-24,2023-10-30,1
20231024,III,58.99,41.01,11.32,4.07,0.00,0.00,2023-10-24,2023-10-30,1
20231024,IV,31.80,68.20,48.53,27.69,11.73,3.98,2023-10-24,2023-10-30,1
20231017,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-17,2023-10-23,1
20231017,II,84.30,15.70,3.16,0.64,0.00,0.00,2023-10-17,2023-10-23,1
20231017,III,56.32,43.68,12.12,4.07,0.00,0.00,2023-10-17,2023-10-23,1
20231017,IV,32.62,67.38,44.42,22.91,9.23,3.86,2023-10-17,2023-10-23,1
20231010,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-10,2023-10-16,1
20231010,II,85.52,14.48,2.75,0.64,0.00,0.00,2023-10-10,2023-10-16,1
20231010,III,56.76,43.24,11.36,2.82,0.00,0.00,2023-10-10,2023-10-16,1
20231010,IV,31.64,68.36,36.79,15.21,7.83,4.05,2023-10-10,2023-10-16,1
20231003,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-10-03,2023-10-09,1
20231003,II,82.73,17.27,3.49,1.18,0.00,0.00,2023-10-03,2023-10-09,1
20231003,III,62.68,37.32,10.91,2.16,0.00,0.00,2023-10-03,2023-10-09,1
20231003,IV,39.67,60.33,31.33,12.89,7.57,3.24,2023-10-03,2023-10-09,1
20230926,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230926,II,85.83,14.17,1.96,0.00,0.00,0.00,2023-09-26,2023-10-02,1
20230926,III,70.36,29.64,10.06,2.16,0.00,0.00,2023-09-26,2023-10-02,1
20230926,IV,52.46,47.54,20.33,11.40,6.43,3.14,2023-09-26,2023-10-02,1
20230919,I,100.00,0.00,0.00,0.00,0.00,0.00,2023-09-19,2023-09-25,1
