MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20240409,25001,Barnstable County,MA,100,0,0,0,0,0,4/9/24,4/15/24,1
20240402,25001,Barnstable County,MA,100,0,0,0,0,0,4/2/24,4/8/24,1
20240326,25001,Barnstable County,MA,100,0,0,0,0,0,3/26/24,4/1/24,1
20240319,25001,Barnstable County,MA,100,0,0,0,0,0,3/19/24,3/25/24,1
20240312,25001,Barnstable County,MA,100,0,0,0,0,0,3/12/24,3/18/24,1
20240305,25001,Barnstable County,MA,100,0,0,0,0,0,3/5/24,3/11/24,1
20240227,25001,Barnstable County,MA,100,0,0,0,0,0,2/27/24,3/4/24,1
20240220,25001,Barnstable County,MA,100,0,0,0,0,0,2/20/24,2/26/24,1
20240213,25001,Barnstable County,MA,64.88,35.12,0,0,0,0,2/13/24,2/19/24,1
20240206,25001,Barnstable County,MA,64.88,35.12,0,0,0,0,2/6/24,2/12/24,1
20240130,25001,Barnstable County,MA,64.88,35.12,0,0,0,0,1/30/24,2/5/24,1
20240123,25001,Barnstable County,MA,64.88,35.12,0,0,0,0,1/23/24,1/29/24,1
20240116,25001,Barnstable County,MA,64.88,35.12,0,0,0,0,1/16/24,1/22/24,1
20240109,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,1/9/24,1/15/24,1
20240102,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,1/2/24,1/8/24,1
20231226,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,12/26/23,1/1/24,1
20231219,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,12/19/23,12/25/23,1
20231212,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,12/12/23,12/18/23,1
20231205,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,12/5/23,12/11/23,1
20231128,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,11/28/23,12/4/23,1
20231121,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,11/21/23,11/27/23,1
20231114,25001,Barnstable County,MA,49.28,50.72,0,0,0,0,11/14/23,11/20/23,1
20231107,25001,Barnstable County,MA,100,0,0,0,0,0,11/7/23,11/13/23,1
20231031,25001,Barnstable County,MA,100,0,0,0,0,0,10/31/23,11/6/23,1
