"genus","species","stateProvince","decimalLatitude","decimalLongitude","eventDate"
"Corvus","Corvus brachyrhynchos","Massachusetts","41.720417","-70.75801",2021-09-18
"Corvus","Corvus brachyrhynchos","Massachusetts","41.50707","-71.02362",2020-07-10
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2018-09-29
"Corvus","Corvus brachyrhynchos","Massachusetts","41.737503","-70.84186",2014-11-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.59098","-70.97773",2022-09-13
"Corvus","Corvus brachyrhynchos","Massachusetts","41.673977","-70.93145",2019-07-24
"Corvus","Corvus brachyrhynchos","Massachusetts","41.671696","-70.818405",2019-04-06
"Corvus","Corvus brachyrhynchos","Massachusetts","41.635975","-70.83718",2019-05-03
"Corvus","Corvus brachyrhynchos","Massachusetts","41.52712","-70.985756",2018-05-05
"Corvus","Corvus ossifragus","Massachusetts","41.929054","-70.817696",2018-05-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.652603","-70.91233",2020-12-19
"Corvus","Corvus brachyrhynchos","Massachusetts","41.972633","-70.74998",2019-11-11
"Corvus","Corvus corax","Massachusetts","41.945","-70.879",2022-02-27
"Corvus","Corvus ossifragus","Massachusetts","41.722927","-70.73079",2022-05-01
"Corvus","Corvus corax","Massachusetts","41.945","-70.879",2016-09-24
"Corvus","Corvus ossifragus","Massachusetts","41.929054","-70.817696",2021-04-26
"Corvus","Corvus brachyrhynchos","Massachusetts","41.742504","-70.74889",2019-07-06
"Corvus","Corvus brachyrhynchos","Massachusetts","41.789234","-71.12523",2021-11-25
"Corvus","Corvus brachyrhynchos","Massachusetts","41.714684","-70.74645",2022-05-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.673977","-70.93145",2019-07-12
"Corvus","Corvus brachyrhynchos","Massachusetts","41.636333","-71.054504",2020-02-17
"Corvus","Corvus brachyrhynchos","Massachusetts","41.87792","-70.75881",2016-06-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.789234","-71.12523",2019-01-27
"Corvus","Corvus brachyrhynchos","Massachusetts","41.758636","-70.712814",2014-01-04
"Corvus","Corvus brachyrhynchos","Massachusetts","41.815422","-71.12596",2018-12-20
"Corvus","Corvus ossifragus","Massachusetts","41.96947","-70.75692",2020-07-23
"Corvus","Corvus brachyrhynchos","Massachusetts","41.945","-70.879",2016-02-19
"Corvus","Corvus ossifragus","Massachusetts","41.715008","-70.74635",2016-03-31
"Corvus","Corvus brachyrhynchos","Massachusetts","41.789234","-71.12523",2022-04-16
"Corvus","Corvus ossifragus","Massachusetts","41.71188","-71.12639",2020-12-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.789234","-71.12523",2022-02-02
"Corvus","Corvus brachyrhynchos","Massachusetts","41.506134","-71.05545",2015-08-31
"Corvus","Corvus brachyrhynchos","Massachusetts","41.51298","-71.022575",2016-07-08
"Corvus","Corvus brachyrhynchos","Massachusetts","41.506134","-71.05545",2016-03-19
"Corvus","Corvus brachyrhynchos","Massachusetts","41.530678","-71.06709",2020-01-04
"Corvus","Corvus corax","Massachusetts","41.892372","-70.719795",2018-02-07
"Corvus","Corvus corax","Massachusetts","41.929054","-70.817696",2021-04-08
"Corvus","Corvus brachyrhynchos","Massachusetts","41.74736","-71.075096",2015-04-15
"Corvus","Corvus brachyrhynchos","Massachusetts","41.755882","-70.75375",2014-11-15
