STATION,NAME,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT08,WT08_ATTRIBUTES
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-01,6.49,",,W",1.17,",,W",57,",,W",26,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-02,8.95,",,W",0.01,",,W",48,",,W",34,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-03,7.61,",,W",0,",,W",50,",,W",25,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-04,6.71,",,W",0,",,W",54,",,W",37,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-05,8.28,",,W",0.04,",,W",60,",,W",48,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-06,10.51,",,W",0.05,",,W",63,",,W",54,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-07,4.92,",,W",0,"T,,W",54,",,W",37,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-08,8.5,",,W",0.83,",,W",58,",,W",41,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-09,7.61,",,W",0,",,W",45,",,W",25,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-10,9.62,",,W",0,",,W",37,",,W",23,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-11,4.92,",,W",0,",,W",38,",,W",21,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-12,10.07,",,W",0,",,W",51,",,W",38,",,W",,,,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-13,6.04,",,W",0.06,",,W",51,",,W",41,",,W",1,",,W",1,",,W",,,1,",,W"
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-14,3.36,",,W",0.14,",,W",41,",,W",34,",,W",1,",,W",,,,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-15,1.12,",,W",0.32,",,W",44,",,W",36,",,W",1,",,W",1,",,W",,,,
USW00054777,"TAUNTON MUNICIPAL AIRPORT, MA US",2007-01-16,7.61,",,W",0.01,",,W",44,",,W",23,",,W",1,",,W",,,,,,
