"Library","Version"
"boot","1.3.30"
"caret","6.0.94"
"corrplot","0.92"
"data.table","1.15.4"
"dials","1.2.1"
"dplyr","1.1.4"
"feasts","0.3.2"
"forecast","8.22.0"
"gbm","2.1.9"
"ggcorrplot","0.1.4.1"
"ggplot2","3.5.0"
"glmnet","4.1.8"
"gt","0.10.1"
"here","1.0.1"
"htmlwidgets","1.6.4"
"httr","1.4.7"
"ISOweek","0.6.2"
"kableExtra","1.4.0"
"knitr","1.45"
"leaflet","2.2.2"
"lubridate","1.9.3"
"magick","2.8.3"
"Matrix","1.6.5"
"mgcv","1.9.1"
"mlr3","0.18.0"
"naniar","1.1.0"
"openxlsx","4.2.5.2"
"pkg, character.only = TRUE",NA
"pkg, character.only = TRUE, quietly = TRUE",NA
"plotly","4.10.4"
"purrr","1.0.2"
"randomForest","4.7.1.1"
"ranger","0.16.0"
"RColorBrewer","1.1.3"
"readr","2.1.5"
"readxl","1.4.3"
"reshape2","1.4.4"
"sf","1.0.16"
"skimr","2.1.5"
"stargazer","5.2.3"
"stringr","1.5.1"
"suncalc","0.5.1"
"tidymodels","1.2.0"
"tidyr","1.3.1"
"topicmodels","0.2.16"
"tsibble","1.1.4"
"vip","0.4.1"
"webshot2","0.1.1"
"xgboost","1.7.7.1"
"yardstick","1.3.1"
